USA Ultimate National Championships,Club - Men ,18,10,2018
San Diego,CA,2018-10-18,2018-10-21
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2018/schedule/Men/Club-Men/
Revolver,1
18,Brett Gramann
21,Gabriel Colton
22,Benjamin Tseytlin
23,Ryan Dinger
25,William Stewart
27,Nicholas Thompson
32,Spencer Diamond
33,Ryan Rzepka
64,Carl Frederik Brasz
74,Mac Hecht
80,Chris Bartoli
85,Josh Markette
97,Alex Dagley
b,r,e,a,k
Doublewide,11
00,Brandon Malecek
01,Jason Holleran
02,Matthew Bennett
04,Jay Froude
06,Michael Matthis
07,Ben Lewis
09,Carson Wilder
10,Kaplan Maurer
11,Robert Lewis
12,Andrew Walch
13,Dalton Smith
14,Carter Hollo
16,Chris LaRocque
17,Chris Larberg
19,Ethan Pollack
20,Chase Cunningham
21,Connor Ughetta
22,Griffin Miller
24,Rory Orloff
26,Noah Chambers
27,Kyle Henke
29,Mick Walter
31,Kai Marshall
34,Henry Furuta
50,Matthew Armour
83,Mitchell Bennett
99,Joshua Zdrodowski
b,r,e,a,k
Pittsburgh Temper,14
00,Andrew Kohl
01,Max Sheppard
02,Jonathan Mast
03,Patrick Earles
04,David Vatz
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
10,Max Thorne
11,Leo Warren
12,Justin Abel
14,Kenny Furdella
15,Dylan Best
17,Matthew Hanna
24,Alexander Thomas
27,Jasper Tom
29,Hafeez Shams
35,Dan Goldstein
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Jake Rovner
48,Jimmy Towle
49,Sam VanDusen
71,Tad Wissel
81,Tyler DeGirolamo
b,r,e,a,k
PoNY,3
01,Markian Kuzmowycz
02,Sean Keegan
03,Benjamin Spielman
05,Joshua Stevens-Stein
06,Michael Brenner
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Matt Hennessy
12,Matthew Lemar
13,Evan Padget
14,William Dean
15,Kevin Norton
16,Laurent Loiseau
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
22,Jack Marsh
23,Jimmy Mickle
30,Alexander Ladomatos
31,Chris Kocher
31,John Wodatch
33,Beau Kittredge
47,Conrad Schloer
50,Milo Snyder
69,Benjamin Jagt
80,Michael Drost
b,r,e,a,k
Johnny Bravo,15
03,David Miller
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
07,Will McDonald
09,Robert Korbel
10,Nicholas Purifico
11,Joshua Crane
13,Alan Villanueva
15,Dennison Bechis
16,Jake Marrapode
20,Mo Scott
22,Stanley Peterson
24,Matt Bubernak
26,Owen Westbrook
29,Sandy Brown
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
42,Ben Lohre
66,Matt Jackson
72,Dylan Salzman
85,Calvin Delamere
88,Quinn Finer
b,r,e,a,k
Truck Stop,6
00,Jarrod Banks
01,Max Cassell
02,Christian Boxley
03,Jackson Cochran
04,Delrico Johnson
05,David Cranston
08,John Walden
10,Tyler Monroe
14,Lloyd Blake
15,Nathan Castine
17,Eric Miner
21,Matthew Rowan McDonnell
22,Ryan Swift
23,Alexandre Fall
25,Marcus Thaw
26,Joseph Richards
27,Austin Bartenstein
30,David Bloodgood
36,David Shields
43,Nathan Prior
45,Jeff Wodatch
52,Gus Norrbom
70,Christopher Strub
87,Matt Kerrigan
90,Markham Shofner
91,Troy Holland
97,Bradley Scott
b,r,e,a,k
Rhino Slam,10
02,Brandon Lafferty
06,Cody Bjorklund
07,Kristian Grobecker
08,Benjamin Whitenack
09,Chris Hancock
10,Colby Chuck
12,Jonathan Lee
13,Timmy Perston
15,Mario Bundy
17,Raphael Hayes
20,James Shaw
21,Spencer Latarski
22,Grant Cole
24,Adam Rees
26,Colton Clark
27,Trevor Smith
28,Hylke Snieder
30,Sam Franer
31,William Beck
33,Sam Gordon-Koven
35,Andrew Halpin
40,Vinh Bui
42,Will Lohre
44,Owen Murphy
62,Quinn Buermeyer
64,Leandro Marx
91,Aaron Adamson
b,r,e,a,k
Ring of Fire,4
00,Jonathan Helton
01,Justin Allen
03,Josh Mullen
04,Dillon Lanier
06,Jacob Mouw
07,Jonathan Nethercutt
08,Terrence Mitchell
09,JD Hastings
10,Henry Fisher
11,Mischa Freystaetter
12,Joey Cretella
13,Shane Sisco
14,Liam Searles-Bohs
15,Eric Taylor
18,Elijah Long
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
24,Noah Saul
25,Bob Liu
26,Allan Laviolette
28,Jack Williams
30,Andrew McKelvey
45,Brett Matzuka
51,Tim McAllister
84,David Richardson
99,Joshua Hartzog
b,r,e,a,k
Chicago Machine,9
0,Jesse White
05,Bradley Bolliger
07,Kurt Gibson
08,Stephan Mance
10,Von Alanguilan
11,Nathan Goff
12,Kyle Rutledge
13,Alex Evangelides
14,Jeffrey Weis
15,Andrew Sheehan
16,Yiding Hou
17,Jack Shanahan
18,Cullen Geppert
19,Jack Shey
22,Alex Champe
24,Michael Pardo
25,Ross Barker
26,Kevin Kelly
28,Joseph Cari
31,Walden Nelson
32,Sam Kanner
36,Timothy Fergus
37,Travis Carpenter
51,Andrew (AJ) Nelson
55,Pawel Janas
64,Neal Phelps
b,r,e,a,k
Furious George,5
00,Robbie Brennan
03,Alistair Robb
04,Dawson Pasin
05,Ty Barbieri
06,Andre Gailits
07,Charles Eyrich
08,Morgan Hibbert
09,Brayden Gee
11,Ari Nitikman
16,Tim Tsang
17,Mathew Goodkey
20,Kevin Chan
21,Andrew Dick
23,Fred Lam
24,Peter Yu
27,Alexander Davis
29,Kevin Lore
44,Devon Thomson
45,Malcolm Bryson
50,Jonah Lee-Ash
68,David Neilson
77,Hugh Knapp
81,Rumi Tejpar
89,Kevin Underhill
98,Brendan Wong
b,r,e,a,k
Chain Lightning,16
00,Daniel Sperling
01,William Lindquist
02,Austin Taylor
03,Matthew Knowles
04,Player Pierce
05,Michael Fairley
07,Parker Bray
08,Christian Olsen
09,Timothy Stapleton
10,Danny On
11,Christopher Calhoun
12,Matthew Smith
13,Josh Turner
15,Karl Ekwurtzel
16,Anders Olsen
19,Stanley Birdsong
21,Jacques Perivier
22,Sean Sears
23,Sun Choi
25,Tyler French
27,Paul Lally
29,Mason Cary
82,Sam Batson
87,Trenton Spinks
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Revolver,Sub Zero,15,11,"10/18/2018, 09:00",Pool A,Final
Madison Club,HIGH FIVE,12,15,"10/18/2018, 09:00",Pool A,Final
Revolver,HIGH FIVE,15,10,"10/18/2018, 11:15",Pool A,Final
Madison Club,Sub Zero,10,15,"10/18/2018, 11:15",Pool A,Final
Revolver,Madison Club,15,6,"10/18/2018, 13:30",Pool A,Final
Sub Zero,HIGH FIVE,15,13,"10/18/2018, 13:30",Pool A,Final
pool,Pool B
Sockeye,Doublewide,14,11,"10/18/2018, 11:15",Pool B,Final
DiG,Pittsburgh Temper,15,10,"10/18/2018, 11:15",Pool B,Final
Sockeye,Pittsburgh Temper,15,11,"10/18/2018, 13:30",Pool B,Final
DiG,Doublewide,15,13,"10/18/2018, 13:30",Pool B,Final
Sockeye,DiG,15,11,"10/18/2018, 15:45",Pool B,Final
Doublewide,Pittsburgh Temper,15,12,"10/18/2018, 15:45",Pool B,Final
pool,Pool C
PoNY,Rhino Slam,13,11,"10/18/2018, 09:00",Pool C,Final
Truck Stop,Johnny Bravo,15,12,"10/18/2018, 09:00",Pool C,Final
PoNY,Johnny Bravo,12,14,"10/18/2018, 13:30",Pool C,Final
Truck Stop,Rhino Slam,15,10,"10/18/2018, 13:30",Pool C,Final
PoNY,Truck Stop,15,9,"10/18/2018, 15:45",Pool C,Final
Rhino Slam,Johnny Bravo,13,14,"10/18/2018, 15:45",Pool C,Final
pool,Pool D
Ring of Fire,Chicago Machine,15,14,"10/18/2018, 09:00",Pool D,Final
Furious George,Chain Lightning,14,12,"10/18/2018, 09:00",Pool D,Final
Ring of Fire,Chain Lightning,15,13,"10/18/2018, 11:15",Pool D,Final
Furious George,Chicago Machine,11,15,"10/18/2018, 11:15",Pool D,Final
Ring of Fire,Furious George,13,12,"10/18/2018, 15:45",Pool D,Final
Chicago Machine,Chain Lightning,15,7,"10/18/2018, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Revolver,PoNY,7,15,"10/21/2018, 15:00",1st Place,Final
Revolver,Ring of Fire,15,14,"10/20/2018, 14:15",Semifinals,Final
PoNY,Sockeye,12,11,"10/20/2018, 10:00",Semifinals,Final
Revolver,Truck Stop,15,11,"10/19/2018, 11:45",Quarterfinals,Final
Doublewide,Ring of Fire,10,14,"10/19/2018, 11:45",Quarterfinals,Final
PoNY,Chicago Machine,13,11,"10/19/2018, 14:00",Quarterfinals,Final
Sub Zero,Sockeye,10,15,"10/19/2018, 14:00",Quarterfinals,Final
DiG,Truck Stop,11,15,"10/19/2018, 09:00",Pre-Quarters,Final
Doublewide,Johnny Bravo,15,14,"10/19/2018, 09:00",Pre-Quarters,Final
Chicago Machine,HIGH FIVE,15,8,"10/19/2018, 09:00",Pre-Quarters,Final
Furious George,Sub Zero,12,14,"10/19/2018, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Consolation Brackets  (2019 Pro Flight)
bracket,5th Place Bracket
Truck Stop,Doublewide,15,11,"10/20/2018, 09:00",5th Place,Final
Truck Stop,Sub Zero,13,11,"10/19/2018, 16:15",5th Place Semis,Final
Doublewide,Chicago Machine,15,8,"10/19/2018, 16:15",5th Place Semis,Final
bracket,7th Place Bracket  -- Pro Flight Play-In (A)
Sub Zero,Furious George,15,13,"10/20/2018, 10:00",Pro Flight Play-In / 7th Place (tie),Final
Furious George,Johnny Bravo,15,9,"10/19/2018, 14:00",9th Place Semifinals,Final
Furious George,Madison Club,15,12,"10/19/2018, 11:45",9th Place Quarterfinals,Final
Chain Lightning,Johnny Bravo,14,15,"10/19/2018, 11:45",9th Place Quarterfinals,Final
bracket,7th Place Bracket -- Pro Flight Play-In (B)
HIGH FIVE,Chicago Machine,15,11,"10/20/2018, 10:00",Pro Flight Play-In / 7th Place (tie),Final
HIGH FIVE,Pittsburgh Temper,14,10,"10/19/2018, 16:15",9th Place Semifinals,Final
HIGH FIVE,Rhino Slam,15,8,"10/19/2018, 11:45",9th Place Quarterfinals,Final
Pittsburgh Temper,DiG,14,13,"10/19/2018, 11:45",9th Place Quarterfinals,Final
b,r,e,a,k
brackets,Consolation Brackets (2019 Elite Flight)
bracket,11th Place
Johnny Bravo,Pittsburgh Temper,15,10,"10/20/2018, 09:00",11th Place,Final
bracket,13th Place Bracket
Rhino Slam,Madison Club,15,6,"10/20/2018, 09:00",13th Place,Final
Rhino Slam,Chain Lightning,15,13,"10/19/2018, 14:00",13th Place Semifinals,Final
Madison Club,DiG,15,12,"10/19/2018, 14:00",13th Place Semifinals,Final
bracket,15th Place
Chain Lightning,DiG,13,12,"10/20/2018, 10:00",15th Place,Final
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
Madison Club,Chain Lightning,10,15,"10/19/2018, 09:00",,Final
Rhino Slam,Pittsburgh Temper,15,9,"10/19/2018, 09:00",,Final
b,r,e,a,k
