TCT Pro-Elite Challenge (Colorado Cup) 2018,Club - Women ,7,7,2018
Broomfield,CO,2018-07-07,2018-07-08
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2018/schedule/Women/Club-Women/
Molly Brown,1
25,"Lily ""Thud"" Lin"
28,Stephanie Pritchard
37,Hannah Walter
44,Rayna Wachs
47,Dena Elimelech
50,Enway Melo
51,Lindsay Lang
52,Annie Ngo
81,Ellen Smith
88,Veronica Eder
b,r,e,a,k
Phoenix,15
02,Savannah Erwin
03,Brandi Skanes
04,Ashley Powell
05,Jessica Jones
06,Qing (Jenny) Wei
07,Cacey-Jane Bunch
08,Georgia Tse
09,Jinny Riedel
12,Alix Robbins
13,Amanda Murphy
14,Lyla Stanland
15,Carmen Tormey
16,Briana Campbell
17,Jenna Dahl
21,Kyra Catabay
22,Anne Worth
27,Mary Rippe
42,Rebecca Fagan
52,Sydney Harris
55,Klara Calderon-Guthe
57,Elisabeth Parker
58,Rowan Jaynes
62,Becky Widmayer
b,r,e,a,k
Traffic,3
00,Terri Whitehead
01,Louisa Thue
02,Laurel Jay
04,Katie Wong
05,Naomi Morcilla
06,Betsy Chan
08,Lisa Wong
09,Jessica Rockliff
11,Katie Hikida
12,Daisy Lin
13,Nekita Sidhho
19,Nagisa Fukuoka
21,Maria Chau
22,Carly Sakai
24,Julia Zhang
27,Megan Kidston
29,Sophia  Chan
33,Laura Mason
42,Rachel Moens
44,Erin Bussin
47,Victoria McCann
48,Zellema Mot
77,Jennifer Kwok
87,Nicola Parker
90,Catherine Menzies
b,r,e,a,k
Schwa,6
00,Katie Weatherhead
01,Seraphie Allen
02,Makena Strand
04,Emily Flock
05,Kimber Coles
06,Demri Horton
07,Shea Brennan
08,Eva Popp
09,Brenna Bailey
12,Mariel Hammond
16,Kristen Rosenblum
16,Jenica Villamor
18,Julia Sherwood
19,Georgina Tetlow
22,Natalie Hancock
24,Aubri Bishop
25,Lauren Truxillo
26,Shaelynn Davis
27,Elizabeth Longmire
28,Shannon Dennehy
37,Rebecca Perston
47,Madeleine Franz
55,Emery Otopalik
70,Morgan Caldwell
77,Strat Stratton
99,Noelle Takahashi
b,r,e,a,k
Pop,10
01,Lillian Bailey
04,Cassidy Krawczak-Kummrow
05,Kalli Poletto
07,Frances Tsukano
08,Jenny Gaynor
09,Sara  Helm
11,Rachel Gage
12,Rebecca Enders
13,Rachel Johnson
15,Katie Godfrey
19,AJ Uthe
25,Courtney Kiesow
26,Rebecca Ludford
28,Jill Kiener
32,Makella Daley
33,Kayla Blanek
40,Chip Chang
49,Rose Gruenhagen
53,Emma Piorier
77,Kristen Schultz
89,Rebekah Swanson
93,Biz Cook
b,r,e,a,k
Scandal,4
1,Emma Price
01,Lindsay Soo
02,Laurel Oldershaw
03,Edith Teng
04,Sarah Itoh
06,Lisa Kowalski
07,Danielle Byers
08,Kristin Franke
09,Jessica O'Connor
11,Nada Tramonte
12,Amy Zhou
13,Kathleen Ratcliff
14,Colleen Marshall
17,Caroline Tornquist
19,Verena Woloson
20,Casey Gorman
22,Lauren Allen
23,Sarah Lord
24,Kelly Ross
25,Michelle Carey
34,Ingrid Petterson
44,Keila Strick
50,Hannah Boone
55,Molly Roy
b,r,e,a,k
Heist,9
0,Donna Johnston
02,Sabrina Hoffman
03,Sara Gnolek
04,Ellie Daniels
05,Rose Glinka
06,Alexandra Hu
07,Austin Prucha
09,Daniela Rodriguez
10,Alison Vandegrift
11,Melissa Gibbs
12,Emily Orner
13,Brittney Kokinos
14,Rachel Enyeart
16,Margaret Walker
17,Lindsey Waite
22,Elizabeth Lehman
23,Anna Williams
24,Camila Flowerman
30,Jean Huang
31,Sharon Yee
40,Amelia Cuarenta
44,Robyn Fennig
84,Sara Stuedemann
87,Emily Langland
99,Caitlin Murphy
b,r,e,a,k
Nightlock,5
01,Maggie O'Connor
02,Marisa Rafter
05,Anne Gordon
06,Michela Meister
07,Claire Sharman
08,Rachel Habbert
09,Audrey Lyman
10,Angela Aie
11,Iris Leung
12,Alexandra Hasan
13,Michelle McGhee
14,Emily Kolanz
15,Alison Griffith
16,Eliza Chang
19,Adrienne Lemberger
21,Megan Pera
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
27,Kira Lou
42,Jackelyne Nguyen
51,Shayla Harris
71,Manisha Daryani
89,Kimberly Long
96,Patricia Anderson
b,r,e,a,k
BENT,16
0,Cidney Weng
0,Janine Hlavaty
0,Julie Sussman
0,Lauren Woods
0,Sarah Thomann
0,Sarah Zhao
2,Jessie Sun
2,Brittany Kaplan
3,Terra Hittson
4,Alexandra Harris
5,Kyla Dayer
7,Luisa Maria Neves
8,Wei Gao
10,Michal Pearl
15,Elissa Sutherland
17,Kristie Kelly
20,Martha Gregory
20,Camila Pelaez Valderrama
26,Megan Ma
32,Allison Kahn
33,Amy Elizabeth Leder
40,Claire Milton
48,Rebecca Driver
83,Jessica Whelan
87,Emma Chin
88,Nastasia Tangherlini
99,Veronica Kolegue-Spalaris
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Molly Brown,Nemesis,13,3,"07/07/2018, 10:00",Pool A,Final
Underground,LOL,10,7,"07/07/2018, 10:00",Pool A,Final
Molly Brown,LOL,13,2,"07/07/2018, 12:00",Pool A,Final
Underground,Nemesis,12,14,"07/07/2018, 12:00",Pool A,Final
Molly Brown,Underground,12,5,"07/07/2018, 14:00",Pool A,Final
Nemesis,LOL,13,8,"07/07/2018, 14:00",Pool A,Final
pool,Pool B
Seattle Riot,Showdown,13,6,"07/07/2018, 08:00",Pool B,Final
Rival,Wildfire,13,11,"07/07/2018, 08:00",Pool B,Final
Seattle Riot,Wildfire,12,8,"07/07/2018, 10:00",Pool B,Final
Rival,Showdown,13,7,"07/07/2018, 10:00",Pool B,Final
Seattle Riot,Rival,13,8,"07/07/2018, 14:00",Pool B,Final
Showdown,Wildfire,11,10,"07/07/2018, 14:00",Pool B,Final
pool,Pool C
Traffic,Pop,13,10,"07/07/2018, 08:00",Pool C,Final
Schwa,Phoenix,11,13,"07/07/2018, 08:00",Pool C,Final
Traffic,Phoenix,8,13,"07/07/2018, 10:00",Pool C,Final
Schwa,Pop,13,6,"07/07/2018, 10:00",Pool C,Final
Traffic,Schwa,12,10,"07/07/2018, 12:00",Pool C,Final
Pop,Phoenix,8,13,"07/07/2018, 12:00",Pool C,Final
pool,Pool D
Scandal,Heist,13,12,"07/07/2018, 08:00",Pool D,Final
Nightlock,BENT,11,9,"07/07/2018, 08:00",Pool D,Final
Scandal,BENT,13,10,"07/07/2018, 12:00",Pool D,Final
Nightlock,Heist,8,10,"07/07/2018, 12:00",Pool D,Final
Scandal,Nightlock,13,11,"07/07/2018, 14:00",Pool D,Final
Heist,BENT,10,11,"07/07/2018, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Molly Brown,Seattle Riot,11,12,"07/08/2018, 12:25",Finals,Final
Molly Brown,Scandal,13,9,"07/08/2018, 10:40",Semifinals,Final
Phoenix,Seattle Riot,7,13,"07/08/2018, 10:40",Semifinals,Final
Molly Brown,Rival,12,10,"07/08/2018, 08:55",Quarterfinals,Final
Traffic,Scandal,7,13,"07/08/2018, 08:55",Quarterfinals,Final
Phoenix,Heist,10,9,"07/08/2018, 08:55",Quarterfinals,Final
Nightlock,Seattle Riot,7,13,"07/08/2018, 08:55",Quarterfinals,Final
Rival,Schwa,13,9,"07/08/2018, 07:45",Pre-Quarters,Final
Traffic,Showdown,13,11,"07/08/2018, 07:45",Pre-Quarters,Final
Heist,Underground,13,9,"07/08/2018, 07:45",Pre-Quarters,Final
Nemesis,Nightlock,11,13,"07/08/2018, 07:45",Pre-Quarters,Final
bracket,3rd Place Bracket
Scandal,Phoenix,13,7,"07/08/2018, 12:25",3rd Place,Final
bracket,5th Place Bracket
Traffic,Nightlock,8,12,"07/08/2018, 12:25",5th Place,Final
Rival,Traffic,10,11,"07/08/2018, 10:40",5th Place Semis,Final
Heist,Nightlock,6,13,"07/08/2018, 10:40",5th Place Semis,Final
bracket,7th Place Bracket
Rival,Heist,10,11,"07/08/2018, 12:25",7th Place,Final
b,r,e,a,k
clusters,Saturday Crossover (4 Seeds)
cluster,Crossover Round
LOL,BENT,8,13,"07/08/2018, 07:45",,Final
Wildfire,Pop,9,10,"07/08/2018, 07:45",,Final
b,r,e,a,k
pools,Sunday Consolation - 8:55am
pool,Pool E
Showdown,Nemesis,10,9,"07/08/2018, 08:55",Pool E,Final
pool,Pool F
Pop,LOL,9,7,"07/08/2018, 08:55",Pool F,Final
b,r,e,a,k
pools,Sunday Consolation - 10:40am
pool,Pool G
Underground,Wildfire,9,10,"07/08/2018, 10:40",Pool G,Final
pool,Pool H
Schwa,BENT,13,5,"07/08/2018, 10:40",Pool H,Final
b,r,e,a,k
pools,Sunday Consolation - 12:25pm
pool,Pool I
Pop,Nemesis,9,10,"07/08/2018, 12:25",Pool I,Final
pool,Pool J
Showdown,LOL,13,8,"07/08/2018, 12:25",Pool J,Final
pool,Pool M
Wildfire,Schwa,11,8,"07/08/2018, 12:25",Pool M,Final
b,r,e,a,k
pools,Sunday Consolation - 2:10pm
pool,Pool L
Underground,BENT,10,11,"07/08/2018, 14:10",Pool L,Final
b,r,e,a,k
