USA Ultimate National Championships,Club - Men ,1,10,2015
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2015/schedule/Men/Club-Men/
Revolver,1
06,Zach Hunter
07,BEN DENEKA
08,Robert Coffin
09,Jones Clemons
10,Peter (PJ) Matulka
11,Joe Nickels
12,William Axtell
14,DEREK THATCHER
15,Kaplan Maurer
17,Joe Wheelock
19,Tim Robbins
21,Christian Simpson
23,Jesse White
24,Danny Kurz
25,Brett Hidaka
30,Andrew Wimer
32,BARRETT DAVIS
34,AARON DUFF
42,Jacob Kersten
52,Colin Lord
77,David Woods
85,Valley Renshaw
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Revolver,Patrol,15,8,"10/01/2015, 09:00",Pool A
Chicago Machine,Madison Club,13,14,"10/01/2015, 09:00",Pool A
Revolver,Madison Club,15,10,"10/01/2015, 11:15",Pool A
Chicago Machine,Patrol,14,15,"10/01/2015, 11:15",Pool A
Revolver,Chicago Machine,15,8,"10/01/2015, 15:45",Pool A
Patrol,Madison Club,15,12,"10/01/2015, 15:45",Pool A
pool,Pool B
Doublewide,Ring of Fire,15,10,"10/01/2015, 09:00",Pool B
Rhino,Sub Zero,14,15,"10/01/2015, 09:00",Pool B
Doublewide,Sub Zero,15,9,"10/01/2015, 11:15",Pool B
Rhino,Ring of Fire,13,15,"10/01/2015, 11:15",Pool B
Doublewide,Rhino,14,15,"10/01/2015, 13:30",Pool B
Ring of Fire,Sub Zero,12,15,"10/01/2015, 13:30",Pool B
pool,Pool C
Sockeye,Florida United,13,7,"10/01/2015, 09:00",Pool C
Truck Stop,GOAT,14,13,"10/01/2015, 09:00",Pool C
Sockeye,GOAT,15,9,"10/01/2015, 11:15",Pool C
Truck Stop,Florida United,10,14,"10/01/2015, 11:15",Pool C
Sockeye,Truck Stop,13,12,"10/01/2015, 13:30",Pool C
Florida United,GOAT,15,14,"10/01/2015, 13:30",Pool C
pool,Pool D
HIGH FIVE,Ironside,15,10,"10/01/2015, 09:00",Pool D
Johnny Bravo,Prairie Fire,15,7,"10/01/2015, 09:00",Pool D
HIGH FIVE,Prairie Fire,15,12,"10/01/2015, 11:15",Pool D
Johnny Bravo,Ironside,14,12,"10/01/2015, 11:15",Pool D
HIGH FIVE,Johnny Bravo,9,15,"10/01/2015, 15:45",Pool D
Ironside,Prairie Fire,15,9,"10/01/2015, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Revolver,Sockeye,15,9,"10/04/2015, 15:00",1st Place
Revolver,Chicago Machine,15,11,"10/03/2015, 20:00",Semifinals
Ironside,Sockeye,10,13,"10/03/2015, 14:30",Semifinals
Revolver,Truck Stop,13,12,"10/02/2015, 13:30",Quarterfinals
Chicago Machine,Ring of Fire,15,14,"10/02/2015, 13:30",Quarterfinals
Doublewide,Ironside,8,15,"10/02/2015, 13:30",Quarterfinals
Sockeye,Madison Club,16,15,"10/02/2015, 13:30",Quarterfinals
Revolver,Prairie Fire,15,8,"10/02/2015, 09:00",Pre-Quarters
Sub Zero,Truck Stop,12,15,"10/02/2015, 09:00",Pre-Quarters
Johnny Bravo,Chicago Machine,13,15,"10/02/2015, 09:00",Pre-Quarters
Florida United,Ring of Fire,13,15,"10/02/2015, 09:00",Pre-Quarters
Doublewide,GOAT,14,9,"10/02/2015, 09:00",Pre-Quarters
Patrol,Ironside,11,14,"10/02/2015, 09:00",Pre-Quarters
Sockeye,Rhino,15,9,"10/02/2015, 09:00",Pre-Quarters
HIGH FIVE,Madison Club,12,15,"10/02/2015, 09:00",Pre-Quarters
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,Pro Flight / 5th Place Bracket
Doublewide,Ring of Fire,11,7,"10/02/2015, 18:00",5th Place
Doublewide,Madison Club,15,6,"10/02/2015, 15:45",5th Semifinals
Ring of Fire,Truck Stop,14,12,"10/02/2015, 15:45",5th Semifinals
bracket,Pro Flight Play-In / 7th Place Bracket (A)
Madison Club,Prairie Fire,11,15,"10/03/2015, 10:00",Pro Flight Play-In / 7th Place
Prairie Fire,Patrol,15,10,"10/02/2015, 15:45",9th Semis
HIGH FIVE,Prairie Fire,12,15,"10/02/2015, 11:15",9th Quarters
Patrol,Florida United,15,10,"10/02/2015, 11:15",9th Quarters
bracket,Pro Flight Play-In / 7th Place Bracket (B)
Sub Zero,Truck Stop,10,12,"10/03/2015, 10:00",Pro Flight Play-In / 7th Place
Sub Zero,GOAT,16,15,"10/02/2015, 15:45",9th Semis
Rhino,Sub Zero,14,16,"10/02/2015, 11:15",9th Quarters
GOAT,Johnny Bravo,15,11,"10/02/2015, 11:15",9th Quarters
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
Patrol,GOAT,10,15,"10/03/2015, 09:00",11th Place
bracket,13th Place
HIGH FIVE,Johnny Bravo,15,13,"10/03/2015, 09:00",13th Place
HIGH FIVE,Florida United,14,7,"10/02/2015, 15:45",13th Semifinals
Rhino,Johnny Bravo,9,15,"10/02/2015, 15:45",13th Semifinals
bracket,15th Place
Florida United,Rhino,0,0,"10/03/2015, 09:00",15th Place
b,r,e,a,k
