President’s Day Invite,College - Men ,18,2,2023
San Diego,CA,2023-02-18,2023-02-21
https://play.usaultimate.org/events/President’s-Day-Invite/schedule/Men/CollegeMen/
Colorado,1
California-Santa Cruz,Stanford,10,9,"02/19/2023, 09:30",Pool F
Cal Poly-SLO,Stanford,14,3,"02/19/2023, 11:00",Pool F
California-Santa Cruz,Utah State,12,8,"02/19/2023, 11:00",Pool F
pool,Pool G
Oregon,California-Santa Barbara,15,4,"02/19/2023, 08:00",Pool G
California,Oregon State,10,11,"02/19/2023, 08:00",Pool G
Oregon,California,13,9,"02/19/2023, 11:00",Pool G
Oregon State,California-Santa Barbara,14,9,"02/19/2023, 11:00",Pool G
Oregon,Oregon State,11,8,"02/19/2023, 12:30",Pool G
California,California-Santa Barbara,14,6,"02/19/2023, 12:30",Pool G
pool,Pool H
UCLA,Grand Canyon,7,11,"02/19/2023, 08:00",Pool H
California-San Diego,Colorado State,11,12,"02/19/2023, 08:00",Pool H
UCLA,California-San Diego,12,8,"02/19/2023, 11:00",Pool H
Colorado State,Grand Canyon,7,9,"02/19/2023, 11:00",Pool H
UCLA,Colorado State,14,5,"02/19/2023, 12:30",Pool H
California-San Diego,Grand Canyon,10,13,"02/19/2023, 12:30",Pool H
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Colorado,Oregon,13,14,"02/20/2023, 12:30",Finals
Colorado,Washington,12,10,"02/20/2023, 11:00",Semifinals
Oregon,Cal Poly-SLO,12,9,"02/20/2023, 11:00",Semifinals
Colorado,California-Santa Cruz,11,10,"02/19/2023, 14:00",Quarterfinals
Grand Canyon,Washington,9,14,"02/19/2023, 14:00",Quarterfinals
Oregon,UCLA,10,9,"02/19/2023, 14:00",Quarterfinals
Cal Poly-SLO,Oregon State,12,8,"02/19/2023, 14:00",Quarterfinals
bracket,3rd Place
Washington,Cal Poly-SLO,10,13,"02/20/2023, 12:30",3rd Place Finals
bracket,5th Place Bracket
California-Santa Cruz,UCLA,8,10,"02/20/2023, 12:30",5th Place Finals
California-Santa Cruz,Grand Canyon,13,4,"02/20/2023, 11:00",5th Place Semifinals
UCLA,Oregon State,12,8,"02/20/2023, 11:00",5th Place Semifinals
bracket,7th Place
Grand Canyon,Oregon State,0,0,"02/20/2023, 12:30",7th Place Finals
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place Bracket
Emory,California,9,13,"02/20/2023, 12:30",9th Place Finals
Emory,Colorado State,12,10,"02/20/2023, 11:00",9th Place Semifinals
Utah State,California,10,13,"02/20/2023, 11:00",9th Place Semifinals
bracket,11th Place
Colorado State,Utah State,8,10,"02/20/2023, 12:30",11th Place Finals
bracket,13th Place Bracket
Western Washington,Stanford,13,9,"02/20/2023, 12:30",13th Place Finals
Western Washington,California-San Diego,11,9,"02/20/2023, 11:00",13th Place Semifinals
Stanford,California-Santa Barbara,1,0,"02/20/2023, 11:00",13th Place Semifinals
bracket,15th Place
California-San Diego,California-Santa Barbara,10,11,"02/20/2023, 12:30",15th Place Finals
b,r,e,a,k
