USA Ultimate National Championships 2021,Club - Men ,21,10,2021
San Diego,CA,2021-10-21,2021-10-24
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2021/schedule/Men/Club-Men/
Sockeye,1
48,Nicholas Murphy
79,Michael Ing
88,Byron Liu
90,Markham Shofner
93,Tom Doi
94,Adam Rees
b,r,e,a,k
Johnny Bravo,10
00,Mark Rauls
01,Jack Hinchsliff
02,Jay Froude
03,Nicholas Purifico
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
08,Cole Wallin
09,Matt Jackson
11,Seth Faris
12,Justin Abel
14,Joseph Patterson
15,Dennison Bechis
20,Thomas Echols
24,David Miller
27,Cody Johnston
29,Sandy Brown
30,Steven Pearlman
31,Kai Marshall
32,Jonathon Morris
34,Cody Spicer
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
88,Quinn Finer
b,r,e,a,k
Sprout,15
00,Isaac Kaplan
02,Ben Goldman
03,Ben Sadok
05,Raymond Tetreault
07,Noel Sierra
08,Ben Ayres
09,Dillon Monti
10,Rustin Ingold-Smith
12,Gabriel Franklin
17,Reuben Philip
21,Jeff Graham
22,Ethan Smith
24,Cameron Wariner
26,William Thornton
27,Amos Adams
40,Holden Cookson
42,Liam Gallinagh
47,Ben Faust
55,Wyatt Kellman
64,Jeff Maskalunas
80,Chris Bartoli
85,Anthony Coppola
99,Oliver Fay
b,r,e,a,k
PoNY,9
01,Markian Kuzmowycz
02,Sean Keegan
03,Benjamin Spielman
05,Joshua Stevens-Stein
06,Michael Brenner
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Shashank Alladi
11,Jeffrey Holm
13,Evan Padget
14,William Dean
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
20,Grant Lindsley
23,Jimmy Mickle
27,Jack Hatchett
31,Chris Kocher
33,Mark Lin
34,John Randolph
47,Conrad Schloer
66,Jibran Mieser
69,Benjamin Jagt
82,Marques Brownlee
89,Esteban Zuluaga Gonzalez
b,r,e,a,k
Chain Lightning,5
00,Patrick Dougherty
02,Austin Taylor
03,Andrew Roney
04,Bradley Seuntjens
05,Michael Fairley
06,Aidan Downey
07,Parker Bray
08,Christian Olsen
09,Bobby Ley
10,Benjamin Gagne-Maynard
11,Kelvin Williams
13,Player Pierce
14,John Stubbs
15,Jakeem Polk
16,Edward Ramsey
18,Adam Miller
19,Brett Hulsmeyer
22,Tanner Robinson
26,Christian Gaeta
32,Karl Ekwurtzel
80,Antoine Davis
81,Joseph Burns
87,Trenton Spinks
88,Matthew Smith
b,r,e,a,k
The Killjoys,16
00,Max  Dehlin
01,Taylor Barton
02,Luke Yorgason
04,Bryce Merrill
05,Sam Pugh
06,Austin Rich
07,Devon Terry
08,Sean Connole
09,Devin Andersen
10,Chad Yorgason
11,Daniel Pettingill
12,Ryan McCready
13,Porter Oyler
15,Brandon Jordan
18,Logan Clarke
23,Anthony Mounga
27,Bryce Kerr
28,Will Selfridge
33,Dayne Meyer
37,Jarom Brandow
45,Benjamin Ashton 
64,Justin McKeen
65,Jordan Kerr
82,Everett Saunders
91,Kalten Toone
97,Preston Hawkes
b,r,e,a,k
Sub Zero,4
00,Brandon Macho
01,Will Brandt
02,Noah Hanson
03,Connor Anderson
04,Josh Kautz
05,Charles McCutcheon
06,Charles Weinberg
07,Tyler Thomegreene
08,Nicholas Vogt
09,Sebastian Brauer
10,Anthony Poletto
11,Jordan Taylor
13,Cole Jurek
14,Gregory Cousins
15,Kristian Johnson
17,Ian Hahn
20,Blake Trantina
21,Trevor Graham
23,Paul Krenik
31,Luke Bleers
32,Andrew Roy
33,Colin Berry
42,Michael Walsh
50,Noah Fogel
81,Andrew Otterlei
99,Tristan Van De Moortele
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sockeye,Pittsburgh Temper,15,11,"10/21/2021, 09:00",Pool A,Final
Rhino Slam!,Lotus,15,10,"10/21/2021, 09:00",Pool A,Final
Sockeye,Lotus,14,11,"10/21/2021, 11:15",Pool A,Final
Rhino Slam!,Pittsburgh Temper,13,11,"10/21/2021, 11:15",Pool A,Final
Sockeye,Rhino Slam!,15,9,"10/21/2021, 13:30",Pool A,Final
Pittsburgh Temper,Lotus,11,12,"10/21/2021, 13:30",Pool A,Final
pool,Pool B
Chicago Machine,SoCal Condors,9,15,"10/21/2021, 11:15",Pool B,Final
Truck Stop,DiG,15,10,"10/21/2021, 11:15",Pool B,Final
Chicago Machine,DiG,14,10,"10/21/2021, 13:30",Pool B,Final
Truck Stop,SoCal Condors,15,10,"10/21/2021, 13:30",Pool B,Final
Chicago Machine,Truck Stop,6,15,"10/21/2021, 15:45",Pool B,Final
SoCal Condors,DiG,13,14,"10/21/2021, 15:45",Pool B,Final
pool,Pool C
Ring of Fire,Johnny Bravo,15,7,"10/21/2021, 09:00",Pool C,Final
Revolver,Sprout,14,10,"10/21/2021, 09:00",Pool C,Final
Ring of Fire,Sprout,15,5,"10/21/2021, 13:30",Pool C,Final
Revolver,Johnny Bravo,15,9,"10/21/2021, 13:30",Pool C,Final
Ring of Fire,Revolver,15,14,"10/21/2021, 15:45",Pool C,Final
Johnny Bravo,Sprout,14,11,"10/21/2021, 15:45",Pool C,Final
pool,Pool D
Sub Zero,PoNY,12,15,"10/21/2021, 09:00",Pool D,Final
Chain Lightning,The Killjoys,15,10,"10/21/2021, 09:00",Pool D,Final
Sub Zero,The Killjoys,8,15,"10/21/2021, 11:15",Pool D,Final
Chain Lightning,PoNY,11,15,"10/21/2021, 11:15",Pool D,Final
Sub Zero,Chain Lightning,6,15,"10/21/2021, 15:45",Pool D,Final
PoNY,The Killjoys,14,10,"10/21/2021, 15:45",Pool D,Final
b,r,e,a,k
clusters,4th Place Finishers Crossover Games
cluster,4th Place Finishers Crossover Games
Pittsburgh Temper,Sub Zero,15,12,"10/22/2021, 09:00",,Final
DiG,Sprout,13,7,"10/22/2021, 09:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
PoNY,Ring of Fire,12,13,"10/24/2021, 10:00",Finals,Final
Sockeye,PoNY,8,15,"10/23/2021, 12:00",Semifinals,Final
Ring of Fire,Rhino Slam!,15,8,"10/23/2021, 10:00",Semifinals,Final
Sockeye,Johnny Bravo,14,12,"10/22/2021, 11:30",Quarterfinals,Final
Chicago Machine,PoNY,9,13,"10/22/2021, 11:30",Quarterfinals,Final
Ring of Fire,Chain Lightning,14,11,"10/22/2021, 14:00",Quarterfinals,Final
Rhino Slam!,Truck Stop,14,13,"10/22/2021, 14:00",Quarterfinals,Final
SoCal Condors,Johnny Bravo,13,14,"10/22/2021, 09:00",Pre-Quarters,Final
Chicago Machine,Revolver,15,14,"10/22/2021, 09:00",Pre-Quarters,Final
Chain Lightning,Lotus,13,12,"10/22/2021, 09:00",Pre-Quarters,Final
The Killjoys,Rhino Slam!,12,14,"10/22/2021, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Sockeye,Rhino Slam!,15,13,"10/24/2021, 10:00",3rd Place,Final
bracket,5th Place
Chicago Machine,Truck Stop,9,4,"10/23/2021, 09:00",5th Place,Final
Johnny Bravo,Chicago Machine,12,15,"10/22/2021, 14:00",5th Semifinals,Final
Chain Lightning,Truck Stop,12,14,"10/22/2021, 16:15",5th Semifinals,Final
bracket,7th Place
DiG,Pittsburgh Temper,11,9,"10/23/2021, 11:15",7th Place,Final
Johnny Bravo,DiG,5,15,"10/23/2021, 09:00",7th Semifinals,Final
Pittsburgh Temper,Chain Lightning,15,11,"10/23/2021, 09:00",7th Semifinals,Final
SoCal Condors,DiG,8,15,"10/22/2021, 16:15",7th Pre-semis,Final
Pittsburgh Temper,Sprout,13,12,"10/22/2021, 16:15",7th Pre-semis,Final
SoCal Condors,Sub Zero,15,9,"10/22/2021, 11:30",7th Place Play-in,Final
Lotus,DiG,7,15,"10/22/2021, 11:30",7th Place Play-in,Final
Revolver,Pittsburgh Temper,11,13,"10/22/2021, 11:30",7th Place Play-in,Final
The Killjoys,Sprout,14,15,"10/22/2021, 11:30",7th Place Play-in,Final
bracket,9th Place
Johnny Bravo,Chain Lightning,11,5,"10/23/2021, 11:15",9th Place,Final
bracket,11th Place
SoCal Condors,Sprout,13,10,"10/23/2021, 09:00",11th Place,Final
bracket,13th Place
Sub Zero,Revolver,12,15,"10/23/2021, 09:00",13th Place,Final
Sub Zero,Lotus,14,10,"10/22/2021, 14:00",13th Semifinals,Final
Revolver,The Killjoys,14,12,"10/22/2021, 14:00",13th Semifinals,Final
bracket,15th Place
Lotus,The Killjoys,6,12,"10/23/2021, 11:15",15th Place,Final
b,r,e,a,k
