Tally Classic IX,College - Men ,8,3,2014
Tallahassee,FL,2014-03-08,2014-03-09
https://play.usaultimate.org/events/Tally-Classic-IX/schedule/Men/CollegeMen/
Florida State,1
Georgia Southern,LSU,4,13,"03/09/2014, 11:30",13th Semis,Final
George Mason,LSU,4,15,"03/09/2014, 01:15",13th Finals,Final
bracket,DI 15th Place
Georgia Southern,Mississippi State,8,15,"03/09/2014, 11:30",15th Finals,Final
bracket,DI 17th Place
Southern Mississippi,Rhode Island,0,1,"03/09/2014, 13:15",17th Semis,Final
Wake Forest,Georgia State,10,13,"03/09/2014, 13:15",17th Semis,Final
Rhode Island,Georgia State,7,15,"03/09/2014, 15:00",17th Finals,Final
bracket,DI 19th Place
Southern Mississippi,Wake Forest,3,11,"03/09/2014, 15:00",19th Finals,Final
b,r,e,a,k
pools,DII Pool Play
pool,Pool E
Tennessee-Chattanooga,West Florida,W,L,"03/08/2014, 09:40",Pool E,Final
Florida State (B),Alabama (B),13,9,"03/08/2014, 09:40",Pool E,Final
Tennessee-Chattanooga,Alabama (B),W,L,"03/08/2014, 11:20",Pool E,Final
Valdosta State,West Florida,13,7,"03/08/2014, 11:20",Pool E,Final
Florida State (B),West Florida,11,13,"03/08/2014, 13:00",Pool E,Final
Tennessee-Chattanooga,Valdosta State,12,10,"03/08/2014, 13:00",Pool E,Final
Tennessee-Chattanooga,Florida State (B),13,3,"03/08/2014, 14:40",Pool E,Final
Valdosta State,Alabama (B),13,5,"03/08/2014, 14:40",Pool E,Final
West Florida,Alabama (B),9,13,"03/08/2014, 16:20",Pool E,Final
Valdosta State,Florida State (B),13,5,"03/08/2014, 16:20",Pool E,Final
pool,Pool F
Florida (B),LSU (B),13,7,"03/08/2014, 08:00",Pool F,Final
Florida Atlantic,Spring Hill,13,2,"03/08/2014, 08:00",Pool F,Final
Florida (B),Tennessee Tech,13,6,"03/08/2014, 09:40",Pool F,Final
Florida Atlantic,LSU (B),13,11,"03/08/2014, 09:40",Pool F,Final
Florida (B),Florida Atlantic,7,12,"03/08/2014, 11:20",Pool F,Final
Tennessee Tech,Spring Hill,13,8,"03/08/2014, 11:20",Pool F,Final
Florida (B),Spring Hill,13,4,"03/08/2014, 14:40",Pool F,Final
Tennessee Tech,LSU (B),12,14,"03/08/2014, 14:40",Pool F,Final
LSU (B),Spring Hill,13,5,"03/08/2014, 16:20",Pool F,Final
Florida Atlantic,Tennessee Tech,13,9,"03/08/2014, 16:20",Pool F,Final
pool,Pool G
Central Florida (B),Georgia Gwinnett,5,11,"03/08/2014, 08:00",Pool G,Final
Auburn (B),Armstrong Atlantic,10,8,"03/08/2014, 08:00",Pool G,Final
Georgia Gwinnett,Armstrong Atlantic,8,11,"03/08/2014, 09:40",Pool G,Final
Miami,University of Georgia (C),11,8,"03/08/2014, 09:40",Pool G,Final
Central Florida (B),Auburn (B),11,7,"03/08/2014, 09:40",Pool G,Final
Miami,Georgia Gwinnett,11,7,"03/08/2014, 11:20",Pool G,Final
Auburn (B),University of Georgia (C),8,11,"03/08/2014, 11:20",Pool G,Final
Miami,Central Florida (B),11,5,"03/08/2014, 13:00",Pool G,Final
Armstrong Atlantic,University of Georgia (C),11,8,"03/08/2014, 13:00",Pool G,Final
Central Florida (B),Armstrong Atlantic,9,7,"03/08/2014, 14:40",Pool G,Final
Miami,Auburn (B),11,8,"03/08/2014, 14:40",Pool G,Final
Georgia Gwinnett,University of Georgia (C),8,11,"03/08/2014, 14:40",Pool G,Final
Georgia Gwinnett,Auburn (B),8,10,"03/09/2014, 08:00",Pool G,Final
Central Florida (B),University of Georgia (C),11,5,"03/09/2014, 08:00",Pool G,Final
Miami,Armstrong Atlantic,11,5,"03/09/2014, 08:00",Pool G,Final
pool,Pool H
North Florida,Georgia Tech (B),7,11,"03/08/2014, 08:00",Pool H,Final
Florida (C),South Florida (B),11,8,"03/08/2014, 08:00",Pool H,Final
North Florida,Notre Dame (B),11,5,"03/08/2014, 09:40",Pool H,Final
Georgia (B),Florida (C),7,11,"03/08/2014, 09:40",Pool H,Final
Georgia (B),Notre Dame (B),11,6,"03/08/2014, 11:20",Pool H,Final
Georgia Tech (B),South Florida (B),11,7,"03/08/2014, 11:20",Pool H,Final
North Florida,Georgia (B),8,11,"03/08/2014, 13:00",Pool H,Final
Georgia Tech (B),Florida (C),9,11,"03/08/2014, 13:00",Pool H,Final
Notre Dame (B),South Florida (B),11,8,"03/08/2014, 13:00",Pool H,Final
North Florida,Florida (C),8,11,"03/08/2014, 14:40",Pool H,Final
Georgia (B),South Florida (B),11,7,"03/08/2014, 14:40",Pool H,Final
Georgia Tech (B),Notre Dame (B),11,8,"03/08/2014, 14:40",Pool H,Final
North Florida,South Florida (B),11,7,"03/09/2014, 08:00",Pool H,Final
Georgia (B),Georgia Tech (B),11,9,"03/09/2014, 08:00",Pool H,Final
Florida (C),Notre Dame (B),11,5,"03/09/2014, 08:00",Pool H,Final
b,r,e,a,k
brackets,DII 1-8 Bracket
bracket,DII Championship
Tennessee-Chattanooga,Georgia (B),13,8,"03/09/2014, 11:30",1st Quarters,Final
Florida (B),Miami,13,6,"03/09/2014, 11:30",1st Quarters,Final
Valdosta State,Florida (C),13,11,"03/09/2014, 11:30",1st Quarters,Final
Central Florida (B),Florida Atlantic,11,13,"03/09/2014, 11:30",1st Quarters,Final
Tennessee-Chattanooga,Florida (B),10,8,"03/09/2014, 13:15",1st Semis,Final
Valdosta State,Florida Atlantic,11,14,"03/09/2014, 13:15",1st Semis,Final
Tennessee-Chattanooga,Florida Atlantic,13,9,"03/09/2014, 15:00",1st Finals,Final
bracket,DII 3rd Place
Florida (B),Valdosta State,0,0,"03/09/2014, 15:00",3rd Finals,Scheduled
bracket,DII 5th Place
Georgia (B),Miami,11,8,"03/09/2014, 13:15",5th Semis,Final
Florida (C),Central Florida (B),13,3,"03/09/2014, 13:15",5th Semis,Final
Georgia (B),Florida (C),1,0,"03/09/2014, 15:00",5th Finals,Final
bracket,DII 7th Place
Miami,Central Florida (B),9,4,"03/09/2014, 15:00",7th Finals,Final
b,r,e,a,k
brackets,DII 9-16 Brackets
bracket,DII 9th Place
Florida State (B),North Florida,12,10,"03/09/2014, 11:30",9th Quarters,Final
Tennessee Tech,Armstrong Atlantic,13,4,"03/09/2014, 11:30",9th Quarters,Final
Georgia Tech (B),Alabama (B),13,8,"03/09/2014, 11:30",9th Quarters,Final
Florida State (B),Tennessee Tech,10,12,"03/09/2014, 13:15",9th Semis,Final
Georgia Tech (B),LSU (B),13,12,"03/09/2014, 13:15",9th Semis,Final
Tennessee Tech,Georgia Tech (B),1,0,"03/09/2014, 15:00",9th Finals,Final
bracket,DII 11th Place
Florida State (B),LSU (B),1,0,"03/09/2014, 15:00",11th Finals,Final
bracket,DII 13th Place
North Florida,Armstrong Atlantic,1,0,"03/09/2014, 13:15",13th Semis,Final
Alabama (B),University of Georgia (C),7,13,"03/09/2014, 13:15",13th Semis,Final
North Florida,University of Georgia (C),0,1,"03/09/2014, 15:00",13th Finals,Final
bracket,DII 15th Place
Armstrong Atlantic,Alabama (B),0,0,"03/09/2014, 15:00",15th Finals,Scheduled
bracket,9th Place Quarter
LSU (B),University of Georgia (C),13,8,"03/09/2014, 11:30",9th Quarter,Final
b,r,e,a,k
