USA Ultimate National Championships,Club - Men ,16,10,2014
Frisco,TX,2014-10-16,2014-10-19
https://play.usaultimate.org/events/USA-Ultimate-National-Championships/schedule/Men/Club-Men/
Revolver,1
31,Jeffrey Babbitt
33,Russell Wallack
35,Piers MacNaughton
77,Danny Clark
84,Alex Kapinos
b,r,e,a,k
Chain Lightning,9
teamInfo,,"Atlanta, Georgia",modules/common/www.chainlightning.org,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
01,JACK KRIEGER
02,Austin Taylor
03,ANDREW HOLLINGWORTH
05,Elliott Erickson
06,Allan Laviolette
07,Jason (Jay) Clark
08,Byron Liu
09,Samuel Little
10,Tyler Conger
11,Joel Wooten
12,Frank Wooten
13,Jared Inselmann
16,RUSSELL SNOW
18,Michael Spear
19,Mark Poole
22,Brian Moore
24,Christian Olsen
32,Andrew Stringer
36,Nick Spiva
47,Asa Wilson
55,Blake Hannah
60,JOLIAN DAHL
87,Trenton Spinks
88,TAYLOR GOFORTH
b,r,e,a,k
Furious George,16
teamInfo,,"Vancouver, British Columbia CA",modules/common/furiousultimate.com,https://www.facebook.com/FuriousGeorgeUltimate?fref=ts,https://twitter.com/FuriousUltimate
02,SEBASTIAN TOTH
03,Nick Wright
04,JOSH TAN
05,John Norris
06,Andre Gailits
07,Charles Eyrich
10,Gagan Chatha
11,KEVIN GREER
16,Trevor Knechtel
17,NICHOLAS LIN
22,Matthew Berezan
24,Peter Yu
27,Alexander Davis
28,KEANE KNAPP
33,Andy Collins
37,Myles Sinclair
47,RYAN KREMSATER
55,John Russell
75,Joel Bellavance
81,Rumi Tejpar
88,BLAIR UNDERHILL
89,Kevin Underhill
93,TAYLOR KOTWA
97,Edward Guo
98,Brendan Wong
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Revolver,PoNY,15,9,"10/16/2014, 09:00",Pool A,Final
Doublewide,Prairie Fire,12,15,"10/16/2014, 09:00",Pool A,Final
Revolver,Prairie Fire,15,9,"10/16/2014, 11:15",Pool A,Final
Doublewide,PoNY,13,10,"10/16/2014, 11:15",Pool A,Final
Revolver,Doublewide,13,12,"10/16/2014, 15:45",Pool A,Final
PoNY,Prairie Fire,12,10,"10/16/2014, 15:45",Pool A,Final
pool,Pool B
Chicago Machine,Sub Zero,15,14,"10/16/2014, 09:00",Pool B,Final
Rhino,Truck Stop,10,15,"10/16/2014, 09:00",Pool B,Final
Chicago Machine,Truck Stop,15,11,"10/16/2014, 11:15",Pool B,Final
Rhino,Sub Zero,13,15,"10/16/2014, 11:15",Pool B,Final
Chicago Machine,Rhino,14,13,"10/16/2014, 13:30",Pool B,Final
Sub Zero,Truck Stop,14,12,"10/16/2014, 13:30",Pool B,Final
pool,Pool C
Sockeye,GOAT,15,7,"10/16/2014, 09:00",Pool C,Final
Ring of Fire,Temper,10,15,"10/16/2014, 09:00",Pool C,Final
Sockeye,Temper,14,9,"10/16/2014, 11:15",Pool C,Final
Ring of Fire,GOAT,9,12,"10/16/2014, 11:15",Pool C,Final
Sockeye,Ring of Fire,10,15,"10/16/2014, 13:30",Pool C,Final
GOAT,Temper,13,15,"10/16/2014, 13:30",Pool C,Final
pool,Pool D
Ironside,Chain Lightning,15,9,"10/16/2014, 09:00",Pool D,Final
Johnny Bravo,Furious George,15,6,"10/16/2014, 09:00",Pool D,Final
Ironside,Furious George,15,6,"10/16/2014, 11:15",Pool D,Final
Johnny Bravo,Chain Lightning,15,11,"10/16/2014, 11:15",Pool D,Final
Ironside,Johnny Bravo,9,12,"10/16/2014, 15:45",Pool D,Final
Chain Lightning,Furious George,14,8,"10/16/2014, 15:45",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Johnny Bravo,Ironside,13,11,"10/19/2014, 16:00",1st Place,Final
GOAT,Johnny Bravo,13,14,"10/18/2014, 20:00",Semifinals,Final
Ring of Fire,Ironside,12,13,"10/18/2014, 17:30",Semifinals,Final
Revolver,GOAT,12,13,"10/17/2014, 13:30",Quarterfinals,Final
Johnny Bravo,Truck Stop,14,12,"10/17/2014, 13:30",Quarterfinals,Final
Ring of Fire,Chain Lightning,12,10,"10/17/2014, 13:30",Quarterfinals,Final
Rhino,Ironside,9,15,"10/17/2014, 13:30",Quarterfinals,Final
Revolver,Furious George,15,9,"10/17/2014, 09:00",Pre-Quarters,Final
Sub Zero,GOAT,10,14,"10/17/2014, 09:00",Pre-Quarters,Final
Johnny Bravo,PoNY,15,10,"10/17/2014, 09:00",Pre-Quarters,Final
Temper,Truck Stop,11,15,"10/17/2014, 09:00",Pre-Quarters,Final
Chicago Machine,Ring of Fire,9,12,"10/17/2014, 09:00",Pre-Quarters,Final
Prairie Fire,Chain Lightning,8,15,"10/17/2014, 09:00",Pre-Quarters,Final
Sockeye,Rhino,13,14,"10/17/2014, 09:00",Pre-Quarters,Final
Ironside,Doublewide,14,9,"10/17/2014, 09:00",Pre-Quarters,Final
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,Pro Flight / 5th Place Bracket
Revolver,Rhino,15,12,"10/18/2014, 11:15",5th Place,Final
Revolver,Truck Stop,15,4,"10/17/2014, 15:45",5th Semifinals,Final
Chain Lightning,Rhino,14,15,"10/17/2014, 15:45",5th Semifinals,Final
bracket,Pro Flight Play-In / 7th Place Bracket (A)
Truck Stop,Sockeye,14,13,"10/19/2014, 10:00",Pro Fligh Play-In / 7th Place,Final
Sockeye,PoNY,14,13,"10/17/2014, 15:45",9th Semis,Final
Sockeye,Furious George,15,10,"10/17/2014, 11:15",9th Quarters,Final
PoNY,Prairie Fire,15,10,"10/17/2014, 11:15",9th Quarters,Final
bracket,Pro Flight Play-In / 7th Place Bracket (B)
Doublewide,Chain Lightning,11,13,"10/18/2014, 10:00",Pro Flight Play-In / 7th Place,Final
Doublewide,Temper,15,13,"10/17/2014, 15:45",9th Semis,Final
Doublewide,Sub Zero,15,14,"10/17/2014, 11:15",9th Quarters,Final
Temper,Chicago Machine,15,13,"10/17/2014, 11:15",9th Quarters,Final
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
PoNY,Temper,13,11,"10/18/2014, 09:00",11th Place,Final
bracket,13th Place
Furious George,Chicago Machine,15,11,"10/18/2014, 09:00",13th Place,Final
Furious George,Prairie Fire,15,14,"10/17/2014, 15:45",13th Semifinals,Final
Sub Zero,Chicago Machine,13,15,"10/17/2014, 15:45",13th Semifinals,Final
bracket,15th Place
Prairie Fire,Sub Zero,14,12,"10/18/2014, 09:00",15th Place,Final
b,r,e,a,k
