Metro East D-I College Men's Regionals,College - Men ,26,4,2025
Middletown,NY,2025-04-26,2025-04-27
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2025/schedule/Men/CollegeMen/
Cornell,1
Princeton,Yale,8,15,"04/26/2025, 15:00",Prequarters,Final
Toronto,Rutgers,15,11,"04/26/2025, 15:00",Prequarters,Final
bracket,3rd Place
Syracuse,Yale,6,9,"04/27/2025, 13:00",3rd Finals,Final
bracket,5th Place
Connecticut,Columbia,0,1,"04/27/2025, 13:00",Fivals,Final
RIT,Connecticut,13,15,"04/27/2025, 11:00",Semifivals,Final
Columbia,Toronto,12,7,"04/27/2025, 11:00",Semifivals,Final
bracket,7th Place
RIT,Toronto,9,6,"04/27/2025, 13:00",7th Place Game,Final
bracket,9th Place
Princeton,Rutgers,0,0,"04/27/2025, 13:00",9th Finals,Scheduled
SUNY-Albany,Princeton,0,0,"04/27/2025, 11:00",9th Semis,Final
NYU,Rutgers,0,0,"04/27/2025, 11:00",9th Semis,Final
bracket,11th Place
Princeton,Rutgers,0,0,"04/27/2025, 13:00",11th Place Game,Scheduled
b,r,e,a,k
pools,13th Place Round Robin
pool,Pool E
Central Connecticut State,Hofstra,11,10,"04/27/2025, 09:00",Pool E,Final
Rowan,Connecticut (B),14,10,"04/27/2025, 09:00",Pool E,Final
Central Connecticut State,Connecticut (B),8,9,"04/27/2025, 11:00",Pool E,Final
Rowan,Hofstra,2,6,"04/27/2025, 11:00",Pool E,Final
Central Connecticut State,Rowan,6,8,"04/27/2025, 13:00",Pool E,Final
Hofstra,Connecticut (B),11,12,"04/27/2025, 13:00",Pool E,Final
b,r,e,a,k
