2025 USA Ultimate Club Nationals,Club - Mixed ,23,10,2025
San Diego,CA,2025-10-23,2025-10-26
https://play.usaultimate.org/events/2025-USA-Ultimate-Club-Nationals/schedule/Mixed/Club-Mixed
Hybrid,1
teamInfo,,"Minneapolis, Minnesota",http://www.dragnthrust.com,https://www.facebook.com/dragnthrust,https://twitter.com/dragNthrust
coaches,Maggie Peck,David Klink
00,Bret Bergmeier
03,Bryan Vohnoutka
04,Erica Baken
06,Kyle Suelflow
07,Danielle Byers
10,Jane Koch
11,Rachel Johnson
12,Marty Adams
16,Jessica Hendrickson
17,James Pollard
18,Ben Joerger
19,Chagall Gelfand
20,Aria Kischner
21,Sarah Mondschein
23,Ian Mccosky
25,Clare Frantz
30,Becker Mathie
35,Ryan Pesch
44,Cassidy Krawczak-Kummrow
49,Caleb Denecour
53,Emma Piorier
66,Jason Tschida
77,Owen Suelflow
99,Tristan Van De Moortele
b,r,e,a,k
AMP,11
teamInfo,,"Philadelphia, Pennsylvania",http://www.phillyamp.com,https://www.facebook.com/PhillyAMP,https://www.twitter.com/phillyamp
coaches,David Baer,Melissa Witmer
00,Chris Zaleski
01,Robert Roos
02,Ryan Cornelius
03,Rachel Alfano
05,Lindsay McKenna
06,Thomas Nye
09,Erica Collin
10,Neena Kashyap
11,Leo Warren
15,Marta Lynch
18,Emily Shields
21,Linda Morse
23,Allan Michel
24,Danielle Walsh
25,Sabrina Bonaci
27,Luke Greenley
33,Will Zamsky
34,Olivia Steinberg
45,Zoe Costanza
66,Nolan McCloskey
70,Jake Butrica
73,Chelsea Semper
91,Ethan Sarles
98,David Snead
99,Eric Nardelli
b,r,e,a,k
Conspiracy,16
teamInfo,,"Savannah, Georgia",https://www.instagram.com/conspiracyultimate?igsh=OWYyYzlpM2l4cmF2,,
coaches,Gabriel Bidot
01,Carly Matthews
03,Dana Bidot
04,Spencer Olmsted
05,Vanessa Bensch
07,Nathan Vickroy
09,Kevin Harrow
10,Therese Doebler
11,Stephen Cook
12,John Langstaff
14,Mia Colbert
18,Franchesca Cassanese
22,Wesley Richey
23,Peter Van Brussel
28,Taya Sterkenburg
33,Shelby Hall
44,Juane Schoeman
47,Stacie Coleman
49,Jamie Bryson
55,Celine Charitat
77,Matthew Cook
80,Nathaniel Austin
83,Ashley Boncimino
88,Hunter Gibbs
91,Mark Schimmel
92,Jacob Markward
97,Rose Bruns
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Hybrid,Sprocket,15,11,"10/23/2025, 09:00",Pool A,Final
Rally,Seattle Mixtape,15,11,"10/23/2025, 09:00",Pool A,Final
Hybrid,Seattle Mixtape,15,10,"10/23/2025, 11:15",Pool A,Final
Rally,Sprocket,11,15,"10/23/2025, 11:15",Pool A,Final
Hybrid,Rally,15,9,"10/23/2025, 13:30",Pool A,Final
Sprocket,Seattle Mixtape,15,12,"10/23/2025, 13:30",Pool A,Final
pool,Pool B
XIST,Tower,15,10,"10/23/2025, 11:15",Pool B,Final
Austin Disco Club,Mile High Trash,13,15,"10/23/2025, 11:15",Pool B,Final
XIST,Mile High Trash,15,10,"10/23/2025, 13:30",Pool B,Final
Austin Disco Club,Tower,11,9,"10/23/2025, 13:30",Pool B,Final
XIST,Austin Disco Club,15,12,"10/23/2025, 15:45",Pool B,Final
Tower,Mile High Trash,14,13,"10/23/2025, 15:45",Pool B,Final
pool,Pool C
Toro,Space Force,15,10,"10/23/2025, 09:00",Pool C,Final
Slow,Lawless,15,12,"10/23/2025, 09:00",Pool C,Final
Toro,Lawless,15,7,"10/23/2025, 13:30",Pool C,Final
Slow,Space Force,15,10,"10/23/2025, 13:30",Pool C,Final
Toro,Slow,14,12,"10/23/2025, 15:45",Pool C,Final
Space Force,Lawless,13,15,"10/23/2025, 15:45",Pool C,Final
pool,Pool D
shame.,AMP,15,10,"10/23/2025, 09:00",Pool D,Final
Drag'n Thrust,Conspiracy,15,11,"10/23/2025, 09:00",Pool D,Final
shame.,Conspiracy,15,8,"10/23/2025, 11:15",Pool D,Final
Drag'n Thrust,AMP,15,8,"10/23/2025, 11:15",Pool D,Final
shame.,Drag'n Thrust,15,14,"10/23/2025, 15:45",Pool D,Final
AMP,Conspiracy,15,7,"10/23/2025, 15:45",Pool D,Final
b,r,e,a,k
brackets,2025 Mixed National Championship
bracket,National Championship
Hybrid,shame.,13,9,"10/25/2025, 17:00",Semifinals,Scheduled
Drag'n Thrust,XIST,0,0,"10/25/2025, 19:15",Semifinals,Scheduled
Hybrid,Lawless,15,8,"10/24/2025, 14:00",Quarterfinals,Final
Slow,shame.,9,15,"10/24/2025, 14:00",Quarterfinals,Final
Toro,Drag'n Thrust,11,15,"10/24/2025, 14:00",Quarterfinals,Final
Sprocket,XIST,10,15,"10/24/2025, 14:00",Quarterfinals,Final
Mile High Trash,Lawless,14,15,"10/24/2025, 09:00",Pre-quarterfinals,Final
Austin Disco Club,Slow,14,15,"10/24/2025, 09:00",Pre-quarterfinals,Final
Drag'n Thrust,Rally,15,5,"10/24/2025, 09:00",Pre-quarterfinals,Final
AMP,Sprocket,13,14,"10/24/2025, 09:00",Pre-quarterfinals,Final
b,r,e,a,k
clusters,Fourth Place Crossover
cluster,Crossover
Tower,Seattle Mixtape,9,15,"10/24/2025, 09:00",,Final
Space Force,Conspiracy,14,13,"10/24/2025, 09:00",,Final
b,r,e,a,k
brackets,Pro Flight Placement
bracket,WUCC Qualification
bracket,Fifth Place Bracket
Lawless,Slow,7,15,"10/25/2025, 09:00",Fifth Place,Final
Toro,Lawless,13,15,"10/24/2025, 16:15",Fifth Place Semifinals,Final
Slow,Sprocket,15,10,"10/24/2025, 16:15",Fifth Place Semifinals,Final
bracket,Pro Flight Play In (A)
Toro,Austin Disco Club,12,15,"10/25/2025, 11:15",Seventh Place (tie),Final
Austin Disco Club,Seattle Mixtape,15,9,"10/24/2025, 16:15",Seventh Place Semifinal,Final
Austin Disco Club,Conspiracy,15,6,"10/24/2025, 11:45",Seventh Place Quarterfinal,Final
Seattle Mixtape,Mile High Trash,12,11,"10/24/2025, 11:45",Seventh Place Quarterfinal,Final
bracket,Pro Flight Play In (B)
Rally,Sprocket,12,15,"10/25/2025, 11:15",Seventh Place (tie),Final
Space Force,Rally,12,15,"10/24/2025, 16:15",Seventh Place Semifinal,Final
AMP,Space Force,9,13,"10/24/2025, 11:45",Seventh Place Quarterfinal,Final
Tower,Rally,14,15,"10/24/2025, 11:45",Seventh Place Quarterfinal,Final
b,r,e,a,k
brackets,Elite Flight Placement
bracket,Eleventh Place
Seattle Mixtape,Space Force,15,10,"10/25/2025, 11:15",Eleventh Place,Final
bracket,Thirteenth Place Bracket
Conspiracy,Tower,7,15,"10/25/2025, 11:15",Thirteenth Place,Final
Conspiracy,Mile High Trash,15,10,"10/24/2025, 14:00",Thirteenth Place Semifinals,Final
AMP,Tower,11,15,"10/24/2025, 14:00",Thirteenth Place Semifinals,Final
bracket,Fifteenth Place
Mile High Trash,AMP,7,15,"10/25/2025, 11:15",Fifteenth Place,Final
b,r,e,a,k
