TCT Pro-Elite Challenge (Colorado Cup) 2019,Club - Men ,13,7,2019
Aurora,CO,2019-07-13,2019-07-14
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2019/schedule/Men/Club-Men/
PoNY,1
Doublewide,Inception,13,6,"07/13/2019, 08:00",Pool D,Final
Truck Stop,Inception,13,2,"07/13/2019, 12:00",Pool D,Final
Doublewide,Rhino Slam!,13,14,"07/13/2019, 12:00",Pool D,Final
Truck Stop,Doublewide,13,6,"07/13/2019, 14:00",Pool D,Final
Rhino Slam!,Inception,13,6,"07/13/2019, 14:00",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossover
cluster,4 Seeds
Patrol,Inception,12,10,"07/14/2019, 07:40",,Final
Voodoo,Prairie Fire,13,7,"07/14/2019, 07:40",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Men's Champion
Truck Stop,Sockeye,12,13,"07/14/2019, 14:15",1st Place,Final
GOAT,Truck Stop,6,13,"07/14/2019, 10:45",Semifinals,Final
Sockeye,Doublewide,13,5,"07/14/2019, 10:45",Semifinals,Final
PoNY,GOAT,8,13,"07/14/2019, 09:00",Quarter Finals,Final
Truck Stop,Chicago Machine,13,9,"07/14/2019, 09:00",Quarter Finals,Final
Sockeye,Rhino Slam!,12,8,"07/14/2019, 09:00",Quarter Finals,Final
Revolver,Doublewide,11,13,"07/14/2019, 09:00",Quarter Finals,Final
Chain Lightning,GOAT,8,13,"07/14/2019, 07:40",Pre-Quarters,Final
Sub Zero,Chicago Machine,11,12,"07/14/2019, 07:40",Pre-Quarters,Final
Rhino Slam!,Johnny Bravo,13,9,"07/14/2019, 07:40",Pre-Quarters,Final
SoCal Condors,Doublewide,10,13,"07/14/2019, 07:40",Pre-Quarters,Final
bracket,3rd Place
GOAT,Doublewide,13,14,"07/14/2019, 12:30",3rd Place,Final
bracket,5th Place
Chicago Machine,Revolver,9,13,"07/14/2019, 12:30",5th Place,Final
PoNY,Chicago Machine,10,11,"07/14/2019, 10:45",5th Semis,Final
Rhino Slam!,Revolver,7,13,"07/14/2019, 10:45",5th Semis,Final
bracket,7th Place
PoNY,Rhino Slam!,13,6,"07/14/2019, 12:30",7th Place,Final
b,r,e,a,k
pools,9th Place Consolation
pool,Pool E
Patrol,Prairie Fire,12,10,"07/14/2019, 09:00",Pool E,Final
SoCal Condors,Chain Lightning,13,9,"07/14/2019, 09:00",Pool E,Final
Prairie Fire,SoCal Condors,8,13,"07/14/2019, 12:30",Pool E,Final
Patrol,Chain Lightning,13,8,"07/14/2019, 12:30",Pool E,Final
pool,Pool F
Voodoo,Inception,13,9,"07/14/2019, 10:45",Pool F,Final
Johnny Bravo,Sub Zero,8,13,"07/14/2019, 10:45",Pool F,Final
Inception,Sub Zero,6,13,"07/14/2019, 14:15",Pool F,Final
Voodoo,Johnny Bravo,10,11,"07/14/2019, 14:15",Pool F,Final
b,r,e,a,k
