Founders Men's Club Sectional Championship 2019,Club - Men ,7,9,2019
West Windsor Township,NJ,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Founders-Mens-Club-Sectional-Championship-2019/schedule/Men/Club-Men/
Patrol,1
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/PhillyFusionYCC
coaches,Petter Abrahamsson,Karen Grossberg,Thomas Glass
0,Adam Blum
5,David Ellis
02,Max Chen
03,Jose Dasilva
04,Gavin Abrahamsson
09,True Hanson
10,David Sang
12,Michael  Maroon 
13,Sam Grossberg
14,Morey Averill
15,Luca Stuccio
16,Aiden Kempf
22,Alex Wiersbitzky
24,Doug Hoyer
25,Brenden Gasper
25,Sam Davies
32,Erica Brown
42,Adam Grossberg
45,Liam Ullman
49,Luke Merrill
82,Jeremy Long
82,Benjamin Robinson
b,r,e,a,k
Garden State Ultimate,2
teamInfo,,"Princeton, New Jersey",http://gardenstateultimate.com/,,https://twitter.com/gardenstateulti
coaches,Gregory Stolowski
0,Alex Liu
6,Miles Eckardt
01,Aylen Learned
02,Wesley Chen
05,Brian Magerr
08,Russell Moy
09,Kevin Wang
10,Shashank Alladi
12,Bobby Puhak
13,Eli Weaver
14,James Kennelly
17,David Maniloff
19,Isaac Duan
22,John Sickles
23,Angelo Olcese
25,Charlie Patten
32,David Perry
35,Alex Rafkin
39,Xavier McCormick
41,Harry McNamara
44,Jeffrey Nelson
46,Tristan Yarter
64,Benjamin Levy
69,David Voychuk
77,Bo Li
84,Daniel Friedman-Brown
88,Alexander Cretella
b,r,e,a,k
Adelphos,9
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/philadelphosult?lang=en
0,Alex Howard
0,Alex Forde
0,Andrew Elliott
0,Casey Thornton
0,Emma Palacio
0,Jacob Arnold
0,Joe Donovan
0,Noah Igra
3,Charles Lee
4,Ryan Bukovsky
8,Michael Dzelzgalvis 
10,Chris Dixon
12,Zach Laubscher
13,Nicholas Nugent
13,Bryan Walter
14,Mike Alexander
16,Patrick Kelly
18,Cameron Rabinowitz
21,Benjamin Hewitt
21,Dillon Garrett
25,Nolan Boyle
29,Chris Vanni
32,Austin Chau
33,Jeremy Fus
36,Boris Li
43,Kevin Goldberg
86,Brett Wall
b,r,e,a,k
Apollo 7,15
teamInfo,,"West Chester, Pennsylvania",,,
0,Andrew Healey
0,Barrett Doering
0,Dan Graham
0,Danny Monts
0,David Broome
0,Edward Eckert
0,Jonathan Anthony
0,Justin Alexander
0,Michael Patuk
0,Shane McLaughlin
4,Brian  Murphy 
9,Alan Guzzardo
10,Frank Skabla
33,Tyler Dickinson
43,Nicholas Diehl
44,Nicholas Moon
75,Abraham Schroeder
b,r,e,a,k
Bearproof,8
teamInfo,,"Harrisburg, Pennsylvania",,,
0,Alex Galarza
0,Alexander Shragis
0,Brad Predmore
0,Brady Twyman 
0,Christopher Thiess
0,Christopher Cookerly
0,Jeremy  Moore 
0,John Searer
0,Josh Heindel
0,Josh Slaymaker
0,Kyle Shallow
0,Nick Merson
0,Ryan Donelson
0,Steven Whiteford
2,Jordan Ashbaugh
2,Daniel Naylor
10,Kyle Karpa
11,Tim Hushon
13,Myles Williams
20,Ryan Hushon
25,Giovanni Ruggirello
27,Mark Kurtz
36,Kent Hubert
40,Sean Hermanns
69,Josh Musser
b,r,e,a,k
CITYWIDE Special,3
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
0,Allan Michel
0,Brandon Pastor
0,Colin McIntyre
0,Daniel Wickens
0,Eric Witmer
0,Jordan Ciccarone
0,Matthew Brenfleck
0,Patrick Diviney
0,Roger Chu
6,Thomas Nye
6,Joel Prushan
13,Greg Mohler
13,Matt Burke
16,Matthew Michelson
17,James Pollard
17,Devin Foster
18,Connor Boyle
22,Dylan Smith
23,Ian Dietrich
24,Dustin Henken
25,Trey (George) Katzenbach
31,Patrick Lindsey
47,Nate Little
48,Benjamin Broser
56,James (Jimmy) Clarke
82,John Protopapa-Henkel
87,Andrew Seibert
b,r,e,a,k
Slag Dump,5
teamInfo,,"Pittsburgh, Pennsylvania",https://www.youtube.com/watch?v=OcrbwU4Cyfw,,https://twitter.com/pghslagdump
0,Scott Olinger
05,Scott Harvey-Arnold
12,Eric Ricci
13,David Tulin
14,Kenneth McQuail
15,Joseph Snider
16,Zac Cook
18,James Crews
19,Kyle Jannak-Huang
20,Peter Zaccardi
21,Aiden Landis
28,Trent Greener
31,Daniel Tometich
32,Steven Mogielski
49,Dan Nichols
52,Jonathan McGee
69,Max Thompson
88,Matt Reynolds
90,Michael Sodini
b,r,e,a,k
Not A Sport,12
teamInfo,,"Somerset, New Jersey",,,
0,Cole Stevens
0,Dyllon Jeng
0,Jordan Disick
0,Oscar Sucre
0,Patrick Chirichella
0,Paul Savarskyy
0,Romer Brito
0,Tyler Caston
0,Woo Jin Ho
1,Daniel Kline
7,Louis Kang
8,Brian DiNicola
9,Dean  Klimek
12,Arthur Liaw
13,Summer Zheng
13,Wilson Cai
21,Alec Bakholdin
27,Declan Alvidrez
36,Tanner Yuhas
39,Andrew Skocypec
47,Akshat Rajan
77,Zachary Johnson
87,Jacob Willsey
b,r,e,a,k
Axial Tilt,14
teamInfo,,"Bethlehem, Pennsylvania",,,
0,Adam Debus
0,Andrew Ridings
0,August Eurich
0,Jeremy Hunter
0,Karch Klos
0,Nathaniel Adjei
0,Robert Griswold
0,Tino Magazzolo
0,William Maghak
0,Zachary Coriarty
1,Evan Comisac
2,Ben Durkee
11,Logan Stormont
20,Sean McCoy
50,Samuel Paleologopoulos
62,Deven Amann-Rao
69,Owen Davies
99,Shawn Silverman
b,r,e,a,k
JAWN,4
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/JAWN_Ultimate
0,Andrew Ngo
0,Andrew Park
0,Ashley Panicker
0,Benjamin Cozzolino
0,Donovan Hugel
0,Harvish Mehta
0,Igor Smola
0,Matthew Kirk
0,Sandeep Dilip
0,William Shutt
0,Zach Klee
0,Zack Eskin
2,Evan Maynard
3,Joshua Fieseher
8,Evan Kashan
9,Sam Gilden-Weiner
10,Adriene Khon
18,Adam Novak
21,Paul Anouna
22,Evan Novacek
24,Vanshil Thakkar
25,Edward Brakoniecki
32,Robert Walker
35,Matthew Wilson
37,Ryan Coughlan
39,Michael Facinelli
64,Eric Lu
b,r,e,a,k
Green Means Bro,11
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Andrew Haviland
0,Bharath Velagapudi
0,Brian Yagel
0,Brian Doherty
0,Matt Ross
0,Ryan Kilmer
0,Ted Skaarup
0,Travis Conrad
1,Craig Umland
2,Matt McGoogan
7,Jesse Gormley
12,John Recchia
14,Joshua Norton
14,Harrison Schell
19,Chris Gray
19,Cortize Hicks
20,Owen Mayer
22,Logan Yu
25,Nate Long
32,Chris Maher
36,Kyle Golrick
88,Jacob Kesselman
b,r,e,a,k
Helots,6
teamInfo,,"Sparta, New Jersey",,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
0,Patrick Stewart
0,Stephen Lee
2,Jacob  Sheedy
2,Mark Farnham
8,Stefen Reese
09,Eric Cooney
10,Ayaaz Versi
11,Joe Dweck
13,Nicholas Landolfi
14,Chris Kelly
15,Sean Maxcy
22,Jeff Perosi
23,Otto Gomez
24,Matt Cultrera
25,Justin Li
27,Jason Pon
28,Jacob Farnham
29,Gabriel Price
32,Kalman Carmel
35,Brian Morrison
43,Joshua Shamouil
51,Patrick Callahan
52,Kevin Scales
74,Derek  Oberleiton
87,Kevin Potter
b,r,e,a,k
Space Force,13
teamInfo,,"Pittsburgh, Pennsylvania",,,
0,David Chao
0,Jonathan Cheng
0,Kaizad Taraporevala
0,Wyatt Brooks
01,JJ McMonigal
07,Mani Jahani
12,Daniel Lee
13,Amos Fishman-Resheff
15,Nick Amano
16,ADAM VILLAFLOR
18,Adam Assaad
20,Chenyu Zhou
22,Alden Pritchard
28,Brandon Rishi
48,Brendon Gu
60,Eric Li
82,Tanishq Kancharla
83,Theo Gonzales-Tapley
88,Leon Lai
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Patrol,Rumspringa,13,7,"09/07/2019, 10:45",Pool A,Final
Hazard,Philadelphia Padawans,13,3,"09/07/2019, 10:45",Pool A,Final
Hazard,Rumspringa,7,13,"09/07/2019, 12:30",Pool A,Final
Patrol,Philadelphia Padawans,13,0,"09/07/2019, 12:30",Pool A,Final
Rumspringa,Philadelphia Padawans,13,4,"09/07/2019, 14:15",Pool A,Final
Patrol,Hazard,13,2,"09/07/2019, 14:15",Pool A,Final
pool,Pool B
Garden State Ultimate,Adelphos,13,5,"09/07/2019, 09:00",Pool B,Final
Bearproof,Apollo 7,11,13,"09/07/2019, 09:00",Pool B,Final
Garden State Ultimate,Apollo 7,13,1,"09/07/2019, 12:30",Pool B,Final
Bearproof,Adelphos,7,13,"09/07/2019, 12:30",Pool B,Final
Garden State Ultimate,Bearproof,13,0,"09/07/2019, 14:15",Pool B,Final
Adelphos,Apollo 7,13,10,"09/07/2019, 14:15",Pool B,Final
pool,Pool C
CITYWIDE Special,Not A Sport,13,6,"09/07/2019, 09:00",Pool C,Final
Slag Dump,Axial Tilt,13,5,"09/07/2019, 09:00",Pool C,Final
CITYWIDE Special,Axial Tilt,13,1,"09/07/2019, 10:45",Pool C,Final
Slag Dump,Not A Sport,13,9,"09/07/2019, 10:45",Pool C,Final
CITYWIDE Special,Slag Dump,13,4,"09/07/2019, 14:15",Pool C,Final
Not A Sport,Axial Tilt,13,4,"09/07/2019, 14:15",Pool C,Final
pool,Pool D
JAWN,Green Means Bro,13,10,"09/07/2019, 09:00",Pool D,Final
Helots,Space Force,13,7,"09/07/2019, 09:00",Pool D,Final
JAWN,Space Force,13,6,"09/07/2019, 10:45",Pool D,Final
Helots,Green Means Bro,3,13,"09/07/2019, 10:45",Pool D,Final
JAWN,Helots,12,9,"09/07/2019, 12:30",Pool D,Final
Green Means Bro,Space Force,13,4,"09/07/2019, 12:30",Pool D,Final
b,r,e,a,k
brackets,Brackets
bracket,1st Place Bracket
Patrol,CITYWIDE Special,12,9,"09/08/2019, 12:30",1st Place,Final
Patrol,Slag Dump,13,6,"09/08/2019, 09:00",Semi-Final,Final
CITYWIDE Special,Rumspringa,12,11,"09/08/2019, 09:00",Semi-Final,Final
Patrol,Adelphos,13,3,"09/07/2019, 16:00",Quarter-Final,Final
Slag Dump,JAWN,13,10,"09/07/2019, 16:00",Quarter-Final,Final
CITYWIDE Special,Green Means Bro,13,9,"09/07/2019, 16:00",Quarter-Final,Final
Rumspringa,Garden State Ultimate,13,8,"09/07/2019, 16:00",Quarter-Final,Final
bracket,2nd Place Bracket
CITYWIDE Special,Garden State Ultimate,12,11,"09/08/2019, 14:30",2nd Place,Final
Rumspringa,Garden State Ultimate,3,13,"09/08/2019, 12:30",2nd Place Semi,Final
Rumspringa,JAWN,13,7,"09/08/2019, 10:45",2nd Place QF,Final
Garden State Ultimate,Slag Dump,13,7,"09/08/2019, 10:45",2nd Place QF,Final
Adelphos,JAWN,11,12,"09/08/2019, 09:00",2nd Place PreQ,Final
Green Means Bro,Garden State Ultimate,6,13,"09/08/2019, 09:00",2nd Place PreQ,Final
bracket,4th Place Bracket
Rumspringa,Slag Dump,13,12,"09/08/2019, 14:30",4th Place,Final
JAWN,Slag Dump,7,13,"09/08/2019, 12:30",4th Place Semi,Final
bracket,6th Place Bracket
JAWN,Green Means Bro,13,12,"09/08/2019, 14:30",6th Place (Game to Go),Final
Adelphos,Green Means Bro,10,12,"09/08/2019, 12:30",6th Place Semi,Final
Adelphos,Hazard,11,10,"09/08/2019, 10:45",6th Place QF,Final
Not A Sport,Green Means Bro,10,13,"09/08/2019, 10:45",6th Place QF,Final
Hazard,Helots,13,8,"09/08/2019, 09:00",6th Play PreQ,Final
Not A Sport,Apollo 7,13,12,"09/08/2019, 09:00",6th Play PreQ,Final
Hazard,Bearproof,13,11,"09/07/2019, 16:00",6th Place Play In,Final
Axial Tilt,Helots,3,13,"09/07/2019, 16:00",6th Place Play In,Final
Not A Sport,Space Force,13,5,"09/07/2019, 16:00",6th Place Play In,Final
Philadelphia Padawans,Apollo 7,9,13,"09/07/2019, 16:00",6th Place Play In,Final
bracket,11th Place Bracket
Helots,Apollo 7,13,5,"09/08/2019, 10:45",11th,Final
bracket,13th Place Bracket
Bearproof,Space Force,13,4,"09/08/2019, 10:45",13th,Final
Bearproof,Axial Tilt,1,0,"09/08/2019, 09:00",13th Semi,Final
Space Force,Philadelphia Padawans,12,11,"09/08/2019, 09:00",13th Semi,Final
bracket,15th Place Bracket
Philadelphia Padawans,Axial Tilt,1,0,"09/08/2019, 10:45",15th,Final
b,r,e,a,k
