2022 USA Ultimate National Championships,Club - Mixed ,20,10,2022
https://play.usaultimate.org/events/2022-USA-Ultimate-National-Championships/schedule/Mixed/Club-Mixed
XIST,8
55,Hunter Lang
63,Amber Sinicrope
64,Davis Whitehead
72,Dylan Frank
88,Gigi Downey
b,r,e,a,k
BFG,2
00,Jason Yun
01,Martin Le
02,Kimberly Schlesinger
03,Mario O'Brien
05,Reid Koss
06,David Zhou
08,Jennifer Ricaurte
11,Austin Barden
12,Kaitlynne Roling
14,Mohammud Tilmo
15,Eliana Moskovitz
16,Emily  Cai
17,Thomas Li
18,Conor Belfield
20,Alexa Kirkland
22,Jack Verzuh
23,Linnea Soo
24,Cheryl Hsu
25,Tommy Lin
28,Leah Bar-On Simmons
29,Sam Pickel
30,Sarah Benditt
32,Alissa Soo
44,Corbin Atack
62,Karen Hill
88,Linh Hoang
b,r,e,a,k
Polar Bears,7
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
06,Qingyun Lu
07,Charles Cao
11,Carolyn Drewry
12,Ziyue Chen
16,Vincenzo Vitiello
17,Margot Stert
18,Nicholas Alexander
22,Andrew Ouyang
24,Krista Takayama
25,Jonah Malenfant
32,Margo Donahue
33,Anna MacNaughton
35,Piers MacNaughton
36,Sara Nolan
40,Mac Taylor
41,Robert Yeagle
51,Jesse Song
52,Samantha Applegate
72,Devin Drewry
90,Saul Wildavsky
97,Ryan Hoffman
99,Alexander Pan
b,r,e,a,k
Love Tractor,14
02,Jessica Shatkin
03,Maggie Chen
04,David Protter
05,Jack (John) McShane
08,Julia Longinotti
10,James Cantwell
11,Heather Kraft
15,Dorothe Franklin
16,Hilary Walker
17,Shannon Reid
19,Garrett Moulder
21,David Kamin
22,Jesse Roehm
23,Britta Bergstrom
24,Hilary Egan
27,Lukas Nesheim
29,Matt Gleason
30,Jenna Hunt
32,Michelle Yang
33,Eric Hubbard
34,Henry Konker
55,Stephen Lin
58,Liana Bradley
66,Akane Kleinkopf
83,Zachary Nager
88,Wil St. Charles
b,r,e,a,k
Space Force,11
00,Mallory Schmidt
01,Matthew Johnson
02,Melanie Thomas
03,Sara Mog
05,William Bianca
06,Angel Mobley
07,Abigail Waldron
08,Tom Radcliffe
10,Matthew Radcliffe
11,Elijah Jaime
12,Bradley Fleming
16,Allyssa Raspa
17,Mattea Swegles
18,Grace Liverett
19,Victoria Ellingson
20,Holly Sillivant
21,Jacqueline Bekken
23,Alejandro Guerrero
25,Callahan Diercks
27,Michael Volz
29,Robert Alongi
32,Lauren Bryant
55,Chris Youngblood
69,Michael Mobley
91,Jonathan Sillivant
99,Mac McClellan
b,r,e,a,k
shame.,10
01,David Wiseman
03,Kelcie Glick
05,Danielle Love
06,Ashley Daly Morgan
09,Sam Goldstein
12,Megan Maxfield
13,Elizabeth Murphy
14,Jade McLaughlin
15,Spencer Tibbs
20,C Ryan Morgan
22,Kyra Khoroujnikova
23,Peter Raines
24,Ethan Peck
25,Marilyn Reich
26,Owen Westbrook
27,Chris Gauen
29,Casey Wu
32,Kevin Johnson
33,Alexandra Daniels
35,Ryan Pesch
46,Helen Eifert
48,Aubree Dietrich
52,Nicholas Snuszka
56,Jacob Juszak
88,Kasey Anderson
97,Sarah Pesch
b,r,e,a,k
AMP,3
03,Rachel Alfano
04,Raha Mozaffari
05,Lindsay McKenna
06,Thomas Nye
08,Jordan Rhyne
09,Beata Artz
10,Spencer DeRoos
11,Leo Warren
12,Gabrielle  Krajniak
15,Layne Dodge
18,Sumi Onoe
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
33,Calvin Trisolini
34,Olivia Steinberg
42,Adam Grossberg
44,Max Charles
53,Will Helenski
54,Henry Ing
55,Michael Campanella
70,Jake Butrica
81,Sean Mott
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
Red Flag,15
 ,Andrew Ling
 ,Julia Zhou
 ,Justin Podnar
 ,Katie Wong
 ,William Vu
0,Koji Suzuki
10,Gagan Chatha
12,Ryan Hoy
13,Kevin Tong
17,Annie Wang
20,Collefas Mot
21,Ellen Au-Yeung
22,Garbo Lee
24,Peter Yu
25,Nicolas Choy
44,Janelle Siwa
48,Zellema Mot
67,Danae Jan
70,Miu Shiraiwa
74,Samuel Creed
79,Zoe Luke
87,Neo Debroux
93,Mika Kurahashi
97,Edward Guo
98,Lauren Szeto-Fung
99,Abeer Lamba
b,r,e,a,k
Toro,6
00,Sarah Russek
01,Samantha Brenz
02,Suhas Madiraju
06,Michael Meilstrup
07,Grayson Sanner
08,Heather Zimmerman
09,Elisabeth Parker
10,Chris LaRocque
11,Player Pierce
12,Hannah Boettcher
13,Yusuf Abdullah
14,Kiron Allen
16,Jacob Mouw
17,Brian Clark
18,Jacob McGoogan
24,Michael Lee
25,Bailey Laberteaux
26,Michelle Landis
33,Timocles Copland
34,Tristan Green
43,Matthew Wilson
45,Jane Peabody
56,Peyton Schafer
88,Christine Bookhout
99,Georgia Tse
b,r,e,a,k
Seattle Mixtape,5
00,Marc Anthony Munoz
01,Kelly Johnson
03,Cam Bailey
04,Kat Songer
07,Frances Gellert
08,Kahyee Fong
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
13,Gabriel Ryan
16,Zach Sabin
17,Aimie Kawai
18,Husayn Carnegie
19,Alexa Romersa
21,Jesse Bolton
22,Evan Klein
23,William Katz
27,Dominic Cavalero
45,Alex Nelson
58,Paige Kercher
60,Bradley Houser
71,Arianne Lozano
86,Denise Blohowiak
90,Qxhna Titcomb
99,Khalif El-Salaam
b,r,e,a,k
Hybrid,4
02,Justin Perticone
03,Sara Nitz
04,Theo Shapinsky
05,Hayley Banas
06,Nora Mertz
08,Dan Donovan
10,Brittany Wright
11,Annalise Meilink
13,Raymond Lu
15,Jake Steslicki
16,Riely Kuznicki
18,Axel Agami Contreras
20,Madalyn Simko
21,Tracey Lo
22,Michael Dagher-Margosian
23,Alex Kapiamba
24,Charlotte Wilson
27,Bailey Besser
30,James Highsmith
33,James Hill
42,Nathan Champoux
55,Sean Clark
66,Mya Hernandez
76,Adam Stautberg
77,Katrina McGuire
88,Mark Whitton
b,r,e,a,k
NOISE,9
00,Donna Johnston
01,Laura Farolfi
02,Tyler Williams
03,Kelsen Alexander
05,Rose Glinka
07,Vanessa Cannaday
10,Tom Annen
12,Sydney French
16,Allison Chmaj
19,Emily Cohen
21,Avery Johnson
24,James Sykora
32,Daniel Garlock
33,Katy Stanton
34,Ben Parrell
42,Ashley Welsh
43,Kevin Cannaday
49,Robyn Fennig
51,Matthew Grinde
54,Dylan DeClerck
75,Nico Ranabhat
77,Jack Kelly
91,Sadie Reding
95,Glenn Poole
99,Caitlin Murphy
b,r,e,a,k
The Chad Larson Experience,16
00,Ethan Levine
02,Logan Grothus
03,Nate Cinnamon
04,Cody Rohlf
06,Hannah Youngwirth
07,James Hean
09,Charlie Hubbard
10,Presley Philipp
12,Nicole Johnson
14,Liz Walters
15,Scott Wilson
17,Emily Wilson
18,Haley Johnson
19,Ben Joerger
20,Rebecca Crown
21,Marissa McFadden
22,Nick Culver
23,Sydney Mier
24,Danny Kurz
29,Adam Levine
32,David Dalton
42,Sarah Stoker
44,Chuan Jie Loy
61,Jayna Wanamaker
77,Kayla Anderson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,Dirty Bird,12,15,"10/20/2022, 09:00",Pool A
XIST,Slow,14,11,"10/20/2022, 09:00",Pool A
Drag'n Thrust,Slow,14,9,"10/20/2022, 11:15",Pool A
XIST,Dirty Bird,15,9,"10/20/2022, 11:15",Pool A
Drag'n Thrust,XIST,12,14,"10/20/2022, 13:30",Pool A
Dirty Bird,Slow,13,11,"10/20/2022, 13:30",Pool A
pool,Pool B
BFG,Space Force,6,14,"10/20/2022, 11:15",Pool B
Polar Bears,Love Tractor,13,12,"10/20/2022, 11:15",Pool B
BFG,Love Tractor,15,10,"10/20/2022, 13:30",Pool B
Polar Bears,Space Force,15,10,"10/20/2022, 13:30",Pool B
BFG,Polar Bears,15,14,"10/20/2022, 15:45",Pool B
Space Force,Love Tractor,12,14,"10/20/2022, 15:45",Pool B
pool,Pool C
AMP,shame.,13,15,"10/20/2022, 09:00",Pool C
Toro,Red Flag,14,15,"10/20/2022, 09:00",Pool C
AMP,Red Flag,13,11,"10/20/2022, 13:30",Pool C
Toro,shame.,7,15,"10/20/2022, 13:30",Pool C
AMP,Toro,14,9,"10/20/2022, 15:45",Pool C
shame.,Red Flag,13,15,"10/20/2022, 15:45",Pool C
pool,Pool D
Hybrid,NOISE,15,12,"10/20/2022, 09:00",Pool D
Seattle Mixtape,The Chad Larson Experience,15,6,"10/20/2022, 09:00",Pool D
Hybrid,The Chad Larson Experience,15,7,"10/20/2022, 11:15",Pool D
Seattle Mixtape,NOISE,15,10,"10/20/2022, 11:15",Pool D
Hybrid,Seattle Mixtape,7,15,"10/20/2022, 15:45",Pool D
NOISE,The Chad Larson Experience,15,4,"10/20/2022, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,First Place Bracket
Seattle Mixtape,NOISE,14,12,"10/23/2022, 15:00",Finals
XIST,Seattle Mixtape,13,15,"10/22/2022, 17:30",Semifinals
Drag'n Thrust,NOISE,13,14,"10/22/2022, 20:00",Semifinals
XIST,Polar Bears,15,9,"10/21/2022, 11:45",Quarterfinals
Love Tractor,Seattle Mixtape,10,15,"10/21/2022, 11:45",Quarterfinals
shame.,Drag'n Thrust,10,15,"10/21/2022, 14:00",Quarterfinals
NOISE,BFG,13,12,"10/21/2022, 14:00",Quarterfinals
Polar Bears,Red Flag,15,10,"10/21/2022, 09:00",Pre-Quarterfinals
AMP,Love Tractor,10,15,"10/21/2022, 09:00",Pre-Quarterfinals
Hybrid,Drag'n Thrust,10,15,"10/21/2022, 09:00",Pre-Quarterfinals
Dirty Bird,NOISE,11,15,"10/21/2022, 09:00",Pre-Quarterfinals
b,r,e,a,k
brackets,Consolation Brackets (2023 Pro Flight)
bracket,5th Place Bracket
BFG,Polar Bears,15,11,"10/22/2022, 09:00",5th Place
BFG,Love Tractor,15,2,"10/21/2022, 16:15",5th Place Semifinals
Polar Bears,shame.,15,5,"10/21/2022, 16:15",5th Place Semifinals
bracket,7th Place Bracket - Pro Flight Play-In (A)
Love Tractor,AMP,13,15,"10/22/2022, 10:00",Pro Flight Play-In / 7th Place (tie)
AMP,Red Flag,15,12,"10/21/2022, 16:15",Pro Flight Play-In  Semifinals
AMP,The Chad Larson Experience,15,7,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals
Red Flag,Toro,15,13,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals
bracket,7th Place Bracket - Pro-Flight Play-In (B)
Hybrid,shame.,15,14,"10/22/2022, 10:00",Pro Flight Play-In / 7th Place (tie)
Hybrid,Dirty Bird,15,9,"10/21/2022, 16:15",Pro Flight Play-In Semifinals
Hybrid,Slow,14,13,"10/21/2022, 11:45",Pro Flight Play--In Quarterfinals
Dirty Bird,Space Force,14,8,"10/21/2022, 11:45",Pro Flight Play--In Quarterfinals
b,r,e,a,k
brackets,Elite Flight Brackets
bracket,11th Place
Red Flag,Dirty Bird,14,15,"10/22/2022, 09:00",11th Place
bracket,13th Place
Toro,Slow,12,11,"10/22/2022, 09:00",13th Place
The Chad Larson Experience,Toro,9,14,"10/21/2022, 14:00",13th Place Semifinals
Space Force,Slow,11,12,"10/21/2022, 14:00",13th Place Semifinals
bracket,15th Place
The Chad Larson Experience,Space Force,6,14,"10/22/2022, 11:15",15th Place
b,r,e,a,k
clusters,Crossover Reseeding Round (4th Place Pool Teams)
cluster,Crossover Round
Toro,The Chad Larson Experience,15,10,"10/21/2022, 09:00",
Space Force,Slow,11,14,"10/21/2022, 09:00",
b,r,e,a,k
