Southwest Mixed Regional Club Championship 2017,Club - Mixed ,23,9,2017
Del Mar,CA,2017-09-23,2017-09-24
https://play.usaultimate.org/events/Southwest-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
Blackbird,1
6,Kristina Geddert
7,Emily Paris
9,Eric Shaw
11,Claire Leichter
13,Brett Naul
15,Jordan Richmond
16,Thomas Konogeris
20,Eric Hartge
21,Jesse White
26,Daniel Keller
27,CHASE BOWMAN
32,Joshuah Kapilivsky
33,Jenna Krugler
40,Michelle Levinson
44,Alexander Lloyd-Evans
51,Brandon Tomlin
54,Nick Riker
64,Chloe Carothers-Liske
80,Nick Petru
99,Amanda Karakoudas
b,r,e,a,k
Fear and Loathing,16
0,Spencer Noorda
1,Preston Laird
3,Megan Reid
5,Zachary Berglind
6,ALEX HESLEP
7,Heather Kita
7,Zachary Walker
8,Peter Pichiotino
9,Alexander Welsh
10,Lamson Nguyen
11,Michael McLaughlin
14,Michael Nassief
17,Christopher Ball
18,Kaitlin Fletcher
22,Molly Ferree
24,Stephanie McLaughlin
25,Matt Overstreet
33,Akash Ramani
42,Shannon Dana
42,Zachary Brown
44,Richard Dana
64,KYLE RAPHAEL ALVAREZ
73,Christina Hedderly
76,Dara Khan
77,Cole Osborn
96,Cassara Higgins
b,r,e,a,k
Family Style,9
0,Adam Paicely
0,Charlotte Zhu
0,DANIELLE LEE
0,Eric Owens
0,Erika Ye
0,Jake Rifkin
0,Jason Lee
0,JORDAN MCCORMACK
0,Joseph Bobman
0,KRISTI LIN
0,Sebastian Chen
0,Suzanne Iwanicki
0,Thomas Lin
1,Paul Kempler
3,ALEX CHIN
4,Juan Ocampo
8,Bryce Edwards
10,Brian Leung
12,Josie Ma
19,Andrew Bustle
24,James Chianglin
40,Veronica Yee
42,NOAH TOMASZEWSKI
46,Sarah Kibler
66,Jennifer Norris
b,r,e,a,k
7 Figures,3
0,Myisha Tarvin
4,Wyatt Paul
01,Peter Zhou
02,Daniel Oettinger
04,Gary Molano
05,Joseph Forbes
06,Peter Osseward
08,Alistair McIntyre
10,Emma Frankel
11,Julia Salvacion
11,Aaron Jacobs
12,Amy Halvorsen
14,Lu Wang
15,KATHRYN FOWLER
16,Rachel Chang
17,Sheila Robles
19,Garrett Yung
22,Christopher Feeney
23,Connie Wang
29,Sam Cook
33,Adam Bronstein
35,Mei Bruist
45,Michael Sylvester
47,Dena Elimelech
50,Peter Van Pelt
66,Joy Kang
88,Alisha Stoun
b,r,e,a,k
BW Ultimate,6
0,Benjamin Petroski
0,Benjamin Levinsky
0,Cooper Joy
0,Hidemasa Kato
0,Jake Tozer
0,Jeff Roeder
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Sam Asin
0,Stephane Carlisle
0,Veronica Chan
0,Yvonne Cheng
2,Amy Chang
2,Adam Brown
5,Radhika Bhargav
7,Michelle Slaughter
13,Chris Farina
14,TIANA WU
16,John Dugan
17,Nicholas Raisch
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
27,Sunny Saini
36,Pin-Wen Wang
43,Bettina Chen
60,Xia Liu
b,r,e,a,k
Firefly,12
0,Arianna Aldebot
0,BENJAMIN SMITH
0,Charles Stratton
0,Abigail Karp
0,COLIN HOY
0,Dan Dzoan
0,Dana Manochi
0,Andrew Galiger
0,Erica Messner
0,Ginger Wong
0,Paul Kantlehner
0,Peter Zellman
0,Pradeep Nair
0,Roman Ryan
0,Sarah Tenpas
0,Jon Schlosberg
0,Kaitlin Marin
5,Suk lyn Lim
9,Rob Ross
10,JAMES O'DONOGHUE
11,Timothy Reilly
14,Dan  Greeley
16,Sean Hyslop
17,Noelle Nelson
17,Chris Godek
27,Alice Walton
44,Shane Tracy
b,r,e,a,k
Cutthroat,13
0,Becca Reighard
0,Brenna Claus
0,Neicy Sandelin
0,Rebecca Mills
1,Daniel Ortiz
2,R. Miguel Gonzales
2,Tessa Behnke
3,Logan Greenwood
4,Pete Marshall
5,Gabriel Somoza
7,Warren Kinson
9,Thomas Fiock
10,Ryley Hill
13,Brent Moore
14,Robert Eardley
17,Trevor Colton
18,Andrew Raynor
20,Sage Kruleski
21,Kathleen Mills
22,Josh Krieger
27,Morgan Greenwood
34,Monica Arienzo
35,Raymond Lopez
36,Jenna Weiner
45,Michael Colton
65,Eric Rosenfeld
71,Ryan Polka
b,r,e,a,k
Polar Bears,5
0,James Sheridan
2,Molly Munson
5,Aaron Shi
6,Cheryl Hsu
8,Anna Liu
03,Ryan Takayama
09,Gregory Marliave
12,Ziyue Chen
14,Kate Schlag
15,Nick Tolfa
18,Nicholas Alexander
20,Sean Liston
21,Dulcy Docken
22,Andrew Ouyang
24,Krista Takayama
24,Joe Thompson
25,Daniel Naruo
27,Aaron Hom
29,Amanda Meroux
30,Jeremy Kharrazi
33,Ian Sweeney
34,Jesse Buchsbaum
36,Sara Nolan
44,Marlena Hartman-Filson
52,Samantha Applegate
82,An-Chi Tsou
88,Linh Hoang
b,r,e,a,k
Classy,4
0,Ian Cutler
0,Joseph Bryan
0,Josh Mitts
0,KATRINA SCHWARTZ
0,KYLE NICHOLS-SCHMOLZE
0,Matthew Rubashkin
0,Melissa Hassler
0,Melissa Skevington
0,Andrew Koerner
0,Angela Xiong
0,Cappy Pitts
0,Charlie Hsu
0,Claudia Vasquez
0,Michael Denevan
0,Nicolas Sayavedra
0,Peter Bonanno
0,Riley O'Neill
0,Sam Poppe
0,Simone Stolzoff
0,Dhwani Shah
0,Eda Altiok
0,Zachary Bruno
9,"Dana ""Zuul"" Nelson"
37,Frances Hamkins-Indik
39,Dan Morris
55,Tyler Condit
64,Michael McGuirk
b,r,e,a,k
Argo,14
1,PAUL TSUJI
2,Neil Butler
3,Amber Lombard
5,Alexandra Taipale
6,Laura Dale
8,Jiyeon Choi
9,JACOB SURPIN
10,Nick James
11,Mara Saltzman
14,Alyssa Sayavedra
15,Adah Shih
16,Zach Sabin
17,Tyana Ruiz
22,EDWARD PARSONS
24,Andrew Riggs
32,Christy Cheung
33,Brian Roach
34,Ben Weintraub
35,Joseph Schindler
44,Andrew Rodman
48,Piotr Behr
52,Megan  Stock
77,Sheneth Bell
99,Samuel Dreiman
b,r,e,a,k
Long Beach Legacy,11
0,Elizabeth Cowan
01,ARMAND DEBOSE
02,Douglas Wolf
04,Joanne Chong
05,Karolyn Giang
09,Lance McNicoll
10,COLLIN NICHOL
11,Xavier Jacque Mignot
13,DANIEL LANDRY
14,Sean Fischer
21,Ivana Monson
23,Enrique Carranza
33,Aaron Bernstein
42,Jacob Baumer
64,ASHLEY Landry
72,Justin Reinhardt
88,Dan Desmond
99,Kori Brooks
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Blackbird,American Barbecue,13,3,"09/23/2017, 09:00",Pool A,Final
Donuts,Superstition,12,11,"09/23/2017, 09:00",Pool A,Final
Blackbird,Superstition,13,4,"09/23/2017, 11:00",Pool A,Final
Donuts,American Barbecue,11,12,"09/23/2017, 11:00",Pool A,Final
Blackbird,Donuts,13,9,"09/23/2017, 13:00",Pool A,Final
American Barbecue,Superstition,13,9,"09/23/2017, 13:00",Pool A,Final
pool,Pool B
Mischief,Family Style,13,5,"09/23/2017, 09:00",Pool B,Final
Alchemy,Fear and Loathing,13,4,"09/23/2017, 09:00",Pool B,Final
Mischief,Fear and Loathing,13,3,"09/23/2017, 11:00",Pool B,Final
Alchemy,Family Style,12,6,"09/23/2017, 11:00",Pool B,Final
Mischief,Alchemy,13,3,"09/23/2017, 13:00",Pool B,Final
Family Style,Fear and Loathing,9,10,"09/23/2017, 13:00",Pool B,Final
pool,Pool C
7 Figures,Firefly,12,4,"09/23/2017, 09:00",Pool C,Final
BW Ultimate,Cutthroat,13,11,"09/23/2017, 09:00",Pool C,Final
7 Figures,Cutthroat,13,9,"09/23/2017, 11:00",Pool C,Final
BW Ultimate,Firefly,13,8,"09/23/2017, 11:00",Pool C,Final
7 Figures,BW Ultimate,13,9,"09/23/2017, 13:00",Pool C,Final
Firefly,Cutthroat,13,9,"09/23/2017, 13:00",Pool C,Final
pool,Pool D
Classy,Long Beach Legacy,13,11,"09/23/2017, 09:00",Pool D,Final
Polar Bears,Argo,13,5,"09/23/2017, 09:00",Pool D,Final
Classy,Argo,13,4,"09/23/2017, 11:00",Pool D,Final
Polar Bears,Long Beach Legacy,13,3,"09/23/2017, 11:00",Pool D,Final
Classy,Polar Bears,11,13,"09/23/2017, 13:00",Pool D,Final
Long Beach Legacy,Argo,9,11,"09/23/2017, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Blackbird,Mischief,12,11,"09/24/2017, 12:00",1st Place Finals,Final
Blackbird,Polar Bears,13,11,"09/23/2017, 15:00",1st Place Semis,Final
7 Figures,Mischief,7,14,"09/23/2017, 15:00",1st Place Semis,Final
bracket,2nd Place Bracket
Mischief,Polar Bears,12,9,"09/24/2017, 14:00",2nd Place Finals,Final
Polar Bears,7 Figures,14,13,"09/24/2017, 12:00",2nd Place Semis,Final
Polar Bears,BW Ultimate,15,4,"09/24/2017, 10:00",2nd Place Quarters,Final
Classy,7 Figures,10,14,"09/24/2017, 10:00",2nd Place Quarters,Final
BW Ultimate,Donuts,14,11,"09/24/2017, 08:00",2nd Place Prequarters,Final
American Barbecue,Classy,10,15,"09/24/2017, 08:00",2nd Place Prequarters,Final
BW Ultimate,Argo,15,5,"09/23/2017, 15:00",2nd Place Play In,Final
Donuts,Alchemy,13,10,"09/23/2017, 15:00",2nd Place Play In,Final
American Barbecue,Fear and Loathing,15,6,"09/23/2017, 15:00",2nd Place Play In,Final
Firefly,Classy,10,15,"09/23/2017, 15:00",2nd Place Play In,Final
bracket,7th Place
Donuts,American Barbecue,9,14,"09/24/2017, 10:00",7th Place,Final
bracket,9th Place Bracket
Alchemy,Firefly,15,12,"09/24/2017, 10:00",9th Place Finals,Final
Argo,Alchemy,11,13,"09/24/2017, 08:00",9th Place Semis,Final
Fear and Loathing,Firefly,9,15,"09/24/2017, 08:00",9th Place Semis,Final
bracket,11th Place
Argo,Fear and Loathing,14,9,"09/24/2017, 10:00",11th Place,Final
b,r,e,a,k
pools,Consolation Pool
pool,Consolation
Superstition,Cutthroat,7,15,"09/24/2017, 08:00",Consolation,Final
Family Style,Long Beach Legacy,15,8,"09/24/2017, 08:00",Consolation,Final
Superstition,Long Beach Legacy,6,15,"09/24/2017, 10:00",Consolation,Final
Family Style,Cutthroat,8,14,"09/24/2017, 10:00",Consolation,Final
Superstition,Family Style,6,13,"09/24/2017, 12:00",Consolation,Final
Cutthroat,Long Beach Legacy,9,15,"09/24/2017, 12:00",Consolation,Final
b,r,e,a,k
