USA Ultimate National Championships,Club - Women ,19,10,2017
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2017/schedule/Women/Club-Women/
Seattle Riot,1
b,r,e,a,k
Nemesis,16
0,Eileen Duffner
01,Allison Fish
03,Alex Krueger
04,Monica Matsumoto
05,Anna Thorn
06,Risa Umeno
07,Dorothe Franklin
08,Christina Sur
09,Julia Butterfield
11,Beth Daviess
12,Jennifer Corcoran
13,Jessica Sipperley
15,Danielle Blatt
16,Jesse Handler
17,Erika Danckers
18,Sarah Kim
19,Rachel Foster
21,Amanda Dobbyn
23,Emily Hadel
31,Abby Shure
32,Carol Li
72,Jacqueline Jarik
77,Sara Miller
94,Emilie Willingham
99,Kathleen Dyer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Seattle Riot,Showdown,15,6,"10/19/2017, 09:00",Pool A
6ixers,Underground,12,11,"10/19/2017, 09:00",Pool A
Seattle Riot,Underground,12,6,"10/19/2017, 11:15",Pool A
6ixers,Showdown,12,13,"10/19/2017, 11:15",Pool A
Seattle Riot,6ixers,15,8,"10/19/2017, 13:30",Pool A
Showdown,Underground,6,12,"10/19/2017, 13:30",Pool A
pool,Pool B
Brute Squad,Pop,14,3,"10/19/2017, 11:15",Pool B
Ozone,Rival,15,12,"10/19/2017, 11:15",Pool B
Brute Squad,Rival,15,5,"10/19/2017, 13:30",Pool B
Ozone,Pop,12,6,"10/19/2017, 13:30",Pool B
Brute Squad,Ozone,15,9,"10/19/2017, 15:45",Pool B
Pop,Rival,14,12,"10/19/2017, 15:45",Pool B
pool,Pool C
Molly Brown,Heist,15,6,"10/19/2017, 09:00",Pool C
Traffic,Schwa,14,8,"10/19/2017, 09:00",Pool C
Molly Brown,Schwa,15,10,"10/19/2017, 13:30",Pool C
Traffic,Heist,15,11,"10/19/2017, 13:30",Pool C
Molly Brown,Traffic,15,8,"10/19/2017, 15:45",Pool C
Heist,Schwa,9,15,"10/19/2017, 15:45",Pool C
pool,Pool D
Fury,Nightlock,15,4,"10/19/2017, 09:00",Pool D
Scandal,Nemesis,15,6,"10/19/2017, 09:00",Pool D
Fury,Nemesis,15,7,"10/19/2017, 11:15",Pool D
Scandal,Nightlock,12,11,"10/19/2017, 11:15",Pool D
Fury,Scandal,15,7,"10/19/2017, 15:45",Pool D
Nightlock,Nemesis,14,11,"10/19/2017, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Fury,Brute Squad,14,13,"10/22/2017, 15:00",1st Place
Ozone,Fury,5,15,"10/21/2017, 12:30",Semifinals (12:30pm & 2:00pm)
Molly Brown,Brute Squad,10,12,"10/21/2017, 14:00",Semifinals (12:30pm & 2:00pm)
Seattle Riot,Ozone,11,12,"10/20/2017, 11:45",Quarterfinals
Traffic,Fury,5,15,"10/20/2017, 11:45",Quarterfinals
Molly Brown,Scandal,13,11,"10/20/2017, 14:00",Quarterfinals
Nightlock,Brute Squad,6,15,"10/20/2017, 14:00",Quarterfinals
Ozone,Schwa,15,9,"10/20/2017, 09:00",Pre-Quarters
Pop,Traffic,8,15,"10/20/2017, 09:00",Pre-Quarters
Scandal,6ixers,13,12,"10/20/2017, 09:00",Pre-Quarters
Nightlock,Underground,13,10,"10/20/2017, 09:00",Pre-Quarters
b,r,e,a,k
brackets,2018 Pro Flight Bracket
bracket,3rd Place (both teams qualify for 2018 WUCC)
Ozone,Molly Brown,0,0,"10/21/2017, 18:45",3rd Place
bracket,5th Place Bracket
Seattle Riot,Traffic,15,9,"10/21/2017, 09:00",5th Place
Seattle Riot,Nightlock,15,7,"10/20/2017, 16:15",5th Place Semifinals
Traffic,Scandal,15,13,"10/20/2017, 16:15",5th Place Semifinals
bracket,Pro Flight Play-In Bracket
Nightlock,Scandal,10,15,"10/21/2017, 12:30",7th Place 
Rival,Scandal,9,13,"10/21/2017, 10:00",Pro Flight Play-In / 7th Semis
Nightlock,6ixers,11,10,"10/21/2017, 10:00",Pro Flight Play-In / 7th Semis
Underground,Rival,7,12,"10/20/2017, 16:15",9th Place Semifinals
6ixers,Schwa,13,10,"10/20/2017, 16:15",9th Place Semifinals
6ixers,Nemesis,14,9,"10/20/2017, 11:45",9th Place Quarterfinals
Heist,Schwa,13,14,"10/20/2017, 11:45",9th Place Quarterfinals
Underground,Showdown,11,8,"10/20/2017, 11:45",9th Place Quarterfinals
Rival,Pop,12,9,"10/20/2017, 11:45",9th Place Quarterfinals
b,r,e,a,k
brackets,2018 Elite Flight Bracket
bracket,11th Place
Schwa,Underground,11,13,"10/21/2017, 09:00",11th Place
bracket,13th Place Bracket
Heist,Pop,15,9,"10/21/2017, 09:00",13th Place
Nemesis,Heist,11,15,"10/20/2017, 14:00",13th Place Semifinals
Showdown,Pop,10,12,"10/20/2017, 14:00",13th Place Semifinals
bracket,15th Place
Nemesis,Showdown,12,10,"10/21/2017, 09:00",15th Place
b,r,e,a,k
clusters,Crossover Round (4 Seeds from Pool Play)
cluster,Crossover Round (4 Seeds from Pool Play)
Heist,Nemesis,15,10,"10/20/2017, 09:00",
Showdown,Rival,13,12,"10/20/2017, 09:00",
b,r,e,a,k
